service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
O_0001_1,1,1,1,1,1,0,0,20251109,20251130
O_0001_2,0,0,0,0,0,1,0,20251109,20251130
O_0001_3,0,0,0,0,0,0,1,20251109,20251130
O_0011_1,1,1,1,1,1,0,0,20251109,20251130
O_0011_2,0,0,0,0,0,1,0,20251109,20251130
O_0011_3,0,0,0,0,0,0,1,20251109,20251130
O_1245_1,1,1,1,1,1,0,0,20251109,20251130
O_1245_2,0,0,0,0,0,1,0,20251109,20251130
O_1245_3,0,0,0,0,0,0,1,20251109,20251130
O_2115_1,1,1,1,1,1,0,0,20251109,20251130
O_2115_2,0,0,0,0,0,1,0,20251109,20251130
O_2115_3,0,0,0,0,0,0,1,20251109,20251130
O_3119_1,1,1,1,1,1,0,0,20251109,20251130
O_3119_2,0,0,0,0,0,1,0,20251109,20251130
O_3119_3,0,0,0,0,0,0,1,20251109,20251130
O_5227_1,1,1,1,1,1,0,0,20251109,20251130
O_5227_2,0,0,0,0,0,1,0,20251109,20251130
O_5227_3,0,0,0,0,0,0,1,20251109,20251130
