jp_pattern_id,route_update_date,origin_stop,via_stop,destination_stop
1010_1,20251109,阿佐ヶ谷駅,鷺ノ宮駅,中村橋駅
1010_2,20251109,中村橋駅,鷺ノ宮駅,阿佐ヶ谷駅
1030_1,20251109,阿佐ヶ谷駅,荻窪駅北口,白鷺一丁目
1030_2,20251109,白鷺一丁目,杉並区役所（循環）,阿佐ヶ谷駅
1040_1,20251109,阿佐ヶ谷駅,,白鷺一丁目
1040_2,20251109,白鷺一丁目,,阿佐ヶ谷駅
1050_1,20251109,阿佐ヶ谷駅,,阿佐谷営業所
1050_2,20251109,阿佐谷営業所,,阿佐ヶ谷駅
1055_1,20251109,阿佐ヶ谷駅,,阿佐谷営業所
1060_1,20251109,阿佐谷営業所,,中村橋駅
1060_2,20251109,中村橋駅,鷺ノ宮駅,阿佐谷営業所
1065_2,20251109,中村橋駅,鷺ノ宮駅,阿佐谷営業所
1070_1,20251109,阿佐谷営業所,,白鷺一丁目
1070_2,20251109,白鷺一丁目,,阿佐谷営業所
1080_1,20251109,阿佐ヶ谷駅,鷺ノ宮駅,中村橋駅
1080_2,20251109,中村橋駅,鷺ノ宮駅,阿佐ヶ谷駅
1110_1,20251109,阿佐ヶ谷駅,下井草駅,中村橋駅
1120_2,20251109,中村橋駅,鷺ノ宮駅,阿佐ヶ谷駅
1320_1,20251109,阿佐ヶ谷駅,高円寺通り,中野駅
1320_2,20251109,中野駅,,阿佐ヶ谷駅
1323_1,20251109,阿佐ヶ谷駅,高円寺通り,中野駅
1330_1,20251109,阿佐谷営業所,,中野駅
1330_2,20251109,中野駅,,阿佐谷営業所
1331_1,20251109,阿佐谷営業所,,中野駅
1331_2,20251109,中野駅,,阿佐谷営業所
1332_1,20251109,阿佐谷営業所,,中野駅
1350_1,20251109,阿佐ヶ谷駅,,阿佐谷営業所
1350_2,20251109,阿佐谷営業所,,阿佐ヶ谷駅
1410_1,20251109,阿佐ヶ谷駅,下井草駅,石神井公園駅
1410_2,20251109,石神井公園駅,下井草駅,阿佐ヶ谷駅
1420_1,20251109,阿佐ヶ谷駅,,下井草駅
1420_2,20251109,下井草駅,,阿佐ヶ谷駅
1425_1,20251109,阿佐ヶ谷駅,,下井草駅
1430_1,20251109,阿佐谷営業所,,下井草駅
1430_2,20251109,下井草駅,,阿佐谷営業所
1435_2,20251109,下井草駅,,阿佐谷営業所
1440_1,20251109,阿佐谷営業所,,石神井公園駅
1440_2,20251109,石神井公園駅,下井草駅,阿佐谷営業所
1450_1,20251109,阿佐ヶ谷駅,,阿佐谷営業所
