table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,あさひ病院（ムーバス）,,,あさひ病院（ムーバス）
stops,stop_name,en,Asahi Byoin,,,あさひ病院（ムーバス）
stops,stop_name,ja-Hrkt,あさひびょういん（むーばす）,,,あさひ病院（ムーバス）
stops,stop_name,ja,お伊勢の森,,,お伊勢の森
stops,stop_name,en,Oisenomori,,,お伊勢の森
stops,stop_name,ja-Hrkt,おいせのもり,,,お伊勢の森
stops,stop_name,ja,かくれみの公園（ムーバス）,,,かくれみの公園（ムーバス）
stops,stop_name,en,Kakuremino Koen,,,かくれみの公園（ムーバス）
stops,stop_name,ja-Hrkt,かくれみのこうえん（むーばす）,,,かくれみの公園（ムーバス）
stops,stop_name,ja,かたらいの道（ムーバス）,,,かたらいの道（ムーバス）
stops,stop_name,en,Katarainomichi,,,かたらいの道（ムーバス）
stops,stop_name,ja-Hrkt,かたらいのみち（むーばす）,,,かたらいの道（ムーバス）
stops,stop_name,ja,くぬぎ橋,,,くぬぎ橋
stops,stop_name,en,Kunugi-bashi,,,くぬぎ橋
stops,stop_name,ja-Hrkt,くぬぎばし,,,くぬぎ橋
stops,stop_name,ja,けやきコミセン（ムーバス）,,,けやきコミセン（ムーバス）
stops,stop_name,en,Keyaki Komisen,,,けやきコミセン（ムーバス）
stops,stop_name,ja-Hrkt,けやきこみせん（むーばす）,,,けやきコミセン（ムーバス）
stops,stop_name,ja,けやき並木（ムーバス）,,,けやき並木（ムーバス）
stops,stop_name,en,Keyaki Namiki,,,けやき並木（ムーバス）
stops,stop_name,ja-Hrkt,けやきなみき（むーばす）,,,けやき並木（ムーバス）
stops,stop_name,ja,けやき橋北（ムーバス）,,,けやき橋北（ムーバス）
stops,stop_name,en,Keyakibashi Kita,,,けやき橋北（ムーバス）
stops,stop_name,ja-Hrkt,けやきばしきた（むーばす）,,,けやき橋北（ムーバス）
stops,stop_name,ja,さわやか公園（ムーバス）,,,さわやか公園（ムーバス）
stops,stop_name,en,Sawayaka Koen,,,さわやか公園（ムーバス）
stops,stop_name,ja-Hrkt,さわやかこうえん（むーばす）,,,さわやか公園（ムーバス）
stops,stop_name,ja,すずかけ小路（ムーバス）,,,すずかけ小路（ムーバス）
stops,stop_name,en,Suzukake Koji,,,すずかけ小路（ムーバス）
stops,stop_name,ja-Hrkt,すずかけこみち（むーばす）,,,すずかけ小路（ムーバス）
stops,stop_name,ja,そーらの家前（ムーバス）,,,そーらの家前（ムーバス）
stops,stop_name,en,Soorano Iemae,,,そーらの家前（ムーバス）
stops,stop_name,ja-Hrkt,そーらのいえまえ（むーばす）,,,そーらの家前（ムーバス）
stops,stop_name,ja,ねむの木通り（ムーバス）,,,ねむの木通り（ムーバス）
stops,stop_name,en,Munenoki Tori,,,ねむの木通り（ムーバス）
stops,stop_name,ja-Hrkt,ねむのきどおり（むーばす）,,,ねむの木通り（ムーバス）
stops,stop_name,ja,ふじ公園西（ムーバス）,,,ふじ公園西（ムーバス）
stops,stop_name,en,Fuji Koen Nishi,,,ふじ公園西（ムーバス）
stops,stop_name,ja-Hrkt,ふじこうえんにし（むーばす）,,,ふじ公園西（ムーバス）
stops,stop_name,ja,みたけ分社通り（はなバス）,,,みたけ分社通り（はなバス）
stops,stop_name,en,Mitakebusha Tori,,,みたけ分社通り（はなバス）
stops,stop_name,ja-Hrkt,みたけぶんしゃどおり（はなばす）,,,みたけ分社通り（はなバス）
stops,stop_name,ja,むらさき橋（ムーバス）,,,むらさき橋（ムーバス）
stops,stop_name,en,Murasaki Bashi,,,むらさき橋（ムーバス）
stops,stop_name,ja-Hrkt,むらさきばし（むーばす）,,,むらさき橋（ムーバス）
stops,stop_name,ja,もみじ山通り,,,もみじ山通り
stops,stop_name,en,Momijiyama-dori,,,もみじ山通り
stops,stop_name,ja-Hrkt,もみじやまどおり,,,もみじ山通り
stops,stop_name,ja,やまと診療所前,,,やまと診療所前
stops,stop_name,ja-Hrkt,やまとしんりょうじょまえ,,,やまと診療所前
stops,stop_name,ja,わかさぎ公園,,,わかさぎ公園
stops,stop_name,ja-Hrkt,わかさぎこうえん,,,わかさぎ公園
stops,stop_name,ja,ウェルファーム杉並,,,ウェルファーム杉並
stops,stop_name,en,Well farm Suginami,,,ウェルファーム杉並
stops,stop_name,ja-Hrkt,うぇるふぁーむすぎなみ,,,ウェルファーム杉並
stops,stop_name,ja,ガード下,,,ガード下
stops,stop_name,en,Gado Shita,,,ガード下
stops,stop_name,ja-Hrkt,がーどした,,,ガード下
stops,stop_name,ja,グランドニッコー東京　台場,,,グランドニッコー東京　台場
stops,stop_name,en,Grand Nikko Tokyo Daiba,,,グランドニッコー東京　台場
stops,stop_name,ja-Hrkt,ぐらんどにっこーとうきょうだいば,,,グランドニッコー東京　台場
stops,stop_name,ja,コピス吉祥寺前,,,コピス吉祥寺前
stops,stop_name,en,coppice KICHIJOJI Mae,,,コピス吉祥寺前
stops,stop_name,ja-Hrkt,こぴすきちじょうじまえ,,,コピス吉祥寺前
stops,stop_name,ja,コピス吉祥寺前（ムーバス）,,,コピス吉祥寺前（ムーバス）
stops,stop_name,en,Kopisu Kichijoji Mae,,,コピス吉祥寺前（ムーバス）
stops,stop_name,ja-Hrkt,こぴすきちじょうじまえ（むーばす）,,,コピス吉祥寺前（ムーバス）
stops,stop_name,ja,サンロード入口,,,サンロード入口
stops,stop_name,en,Sunroad Iriguchi,,,サンロード入口
stops,stop_name,ja-Hrkt,さんろーどいりぐち,,,サンロード入口
stops,stop_name,ja,シャレール荻窪,,,シャレール荻窪
stops,stop_name,en,CHALEUREUX OGIKUBO,,,シャレール荻窪
stops,stop_name,ja-Hrkt,しゃれーるおぎくぼ,,,シャレール荻窪
stops,stop_name,ja,シャレール荻窪入口,,,シャレール荻窪入口
