service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
O_4108_01,1,1,1,1,1,0,0,20251201,20261201
O_4108_02,0,0,0,0,0,1,0,20251201,20261201
O_4108_03,0,0,0,0,0,0,1,20251201,20261201
O_4108_11,0,0,0,0,0,0,0,20251201,20261201
O_4108_12,0,0,0,0,0,0,0,20251201,20261201
O_4108_13,0,0,0,0,0,0,0,20251201,20261201
O_4108_21,0,0,0,0,0,0,0,20251201,20261201
O_4108_22,0,0,0,0,0,0,0,20251201,20261201
O_4108_23,0,0,0,0,0,0,0,20251201,20261201
O_4108_31,0,0,0,0,0,0,0,20251201,20261201
O_4108_32,0,0,0,0,0,0,0,20251201,20261201
O_4108_33,0,0,0,0,0,0,0,20251201,20261201
O_4110_01,1,1,1,1,1,0,0,20251201,20261201
O_4110_02,0,0,0,0,0,1,0,20251201,20261201
O_4110_03,0,0,0,0,0,0,1,20251201,20261201
O_4110_11,0,0,0,0,0,0,0,20251201,20261201
O_4110_12,0,0,0,0,0,0,0,20251201,20261201
O_4110_13,0,0,0,0,0,0,0,20251201,20261201
O_4110_21,0,0,0,0,0,0,0,20251201,20261201
O_4110_22,0,0,0,0,0,0,0,20251201,20261201
O_4110_23,0,0,0,0,0,0,0,20251201,20261201
O_4110_31,0,0,0,0,0,0,0,20251201,20261201
O_4110_32,0,0,0,0,0,0,0,20251201,20261201
O_4110_33,0,0,0,0,0,0,0,20251201,20261201
O_4111_01,1,1,1,1,1,0,0,20251201,20261201
O_4111_02,0,0,0,0,0,1,0,20251201,20261201
O_4111_03,0,0,0,0,0,0,1,20251201,20261201
O_4111_11,0,0,0,0,0,0,0,20251201,20261201
O_4111_12,0,0,0,0,0,0,0,20251201,20261201
O_4111_13,0,0,0,0,0,0,0,20251201,20261201
O_4111_21,0,0,0,0,0,0,0,20251201,20261201
O_4111_22,0,0,0,0,0,0,0,20251201,20261201
O_4111_23,0,0,0,0,0,0,0,20251201,20261201
O_4111_31,0,0,0,0,0,0,0,20251201,20261201
O_4111_32,0,0,0,0,0,0,0,20251201,20261201
O_4111_33,0,0,0,0,0,0,0,20251201,20261201
O_4112_01,1,1,1,1,1,0,0,20251201,20261201
O_4112_02,0,0,0,0,0,1,0,20251201,20261201
O_4112_03,0,0,0,0,0,0,1,20251201,20261201
O_4112_11,0,0,0,0,0,0,0,20251201,20261201
O_4112_12,0,0,0,0,0,0,0,20251201,20261201
O_4112_13,0,0,0,0,0,0,0,20251201,20261201
O_4112_21,0,0,0,0,0,0,0,20251201,20261201
O_4112_22,0,0,0,0,0,0,0,20251201,20261201
O_4112_23,0,0,0,0,0,0,0,20251201,20261201
O_4112_31,0,0,0,0,0,0,0,20251201,20261201
O_4112_32,0,0,0,0,0,0,0,20251201,20261201
O_4112_33,0,0,0,0,0,0,0,20251201,20261201
O_9991_01,1,1,1,1,1,0,0,20251201,20261201
O_9991_02,0,0,0,0,0,1,0,20251201,20261201
O_9991_03,0,0,0,0,0,0,1,20251201,20261201
O_9991_11,0,0,0,0,0,0,0,20251201,20261201
O_9991_12,0,0,0,0,0,0,0,20251201,20261201
O_9991_13,0,0,0,0,0,0,0,20251201,20261201
O_9991_21,0,0,0,0,0,0,0,20251201,20261201
O_9991_22,0,0,0,0,0,0,0,20251201,20261201
O_9991_23,0,0,0,0,0,0,0,20251201,20261201
O_9991_31,0,0,0,0,0,0,0,20251201,20261201
O_9991_32,0,0,0,0,0,0,0,20251201,20261201
O_9991_33,0,0,0,0,0,0,0,20251201,20261201
O_9992_01,1,1,1,1,1,0,0,20251201,20261201
O_9992_11,0,0,0,0,0,0,0,20251201,20261201
O_9992_21,0,0,0,0,0,0,0,20251201,20261201
O_9992_31,0,0,0,0,0,0,0,20251201,20261201
O_9994_01,1,1,1,1,1,0,0,20251201,20261201
O_9994_02,0,0,0,0,0,1,0,20251201,20261201
O_9994_03,0,0,0,0,0,0,1,20251201,20261201
O_9994_11,0,0,0,0,0,0,0,20251201,20261201
O_9994_12,0,0,0,0,0,0,0,20251201,20261201
O_9994_13,0,0,0,0,0,0,0,20251201,20261201
O_9994_21,0,0,0,0,0,0,0,20251201,20261201
O_9994_22,0,0,0,0,0,0,0,20251201,20261201
O_9994_23,0,0,0,0,0,0,0,20251201,20261201
O_9994_31,0,0,0,0,0,0,0,20251201,20261201
O_9994_32,0,0,0,0,0,0,0,20251201,20261201
O_9994_33,0,0,0,0,0,0,0,20251201,20261201
