service_id,date,exception_type
O_4108_03,20251229,1
O_4108_01,20251229,2
O_4108_03,20251230,1
O_4108_01,20251230,2
O_4108_03,20251231,1
O_4108_01,20251231,2
O_4110_03,20251229,1
O_4110_01,20251229,2
O_4110_03,20251230,1
O_4110_01,20251230,2
O_4110_03,20251231,1
O_4110_01,20251231,2
O_4110_31,20251222,1
O_4110_01,20251222,2
O_4110_31,20251223,1
O_4110_01,20251223,2
O_4110_31,20251224,1
O_4110_01,20251224,2
O_4110_31,20251225,1
O_4110_01,20251225,2
O_4110_31,20251226,1
O_4110_01,20251226,2
O_4111_03,20251229,1
O_4111_01,20251229,2
O_4111_03,20251230,1
O_4111_01,20251230,2
O_4111_03,20251231,1
O_4111_01,20251231,2
O_4112_11,20251202,1
O_4112_01,20251202,2
O_4112_11,20251209,1
O_4112_01,20251209,2
O_4112_11,20251216,1
O_4112_01,20251216,2
O_4112_13,20251229,1
O_4112_01,20251229,2
O_4112_13,20251230,1
O_4112_01,20251230,2
O_4112_13,20251231,1
O_4112_01,20251231,2
O_9991_03,20251229,1
O_9991_01,20251229,2
O_9991_03,20251230,1
O_9991_01,20251230,2
O_9991_03,20251231,1
O_9991_01,20251231,2
O_9994_03,20251229,1
O_9994_01,20251229,2
O_9994_03,20251230,1
O_9994_01,20251230,2
O_9994_03,20251231,1
O_9994_01,20251231,2
