jp_pattern_id,route_update_date,origin_stop,via_stop,destination_stop
101_1,20251201,川崎駅,台町,市営埠頭
101_2,20251201,市営埠頭,台町,川崎駅
1012_1,20251201,溝口駅前,新城駅前・とどろきアリーナ前,小杉駅前
1012_2,20251201,小杉駅前,とどろきアリーナ前・新城駅前,溝口駅前
102_1,20251201,川崎駅,台町,市営埠頭
102_2,20251201,市営埠頭,台町,川崎駅
103_1,20251201,川崎駅,【急行】,市営埠頭
104_1,20251201,川崎駅,台町,京セラ前
104_2,20251201,京セラ前,台町,川崎駅
105_1,20251201,川崎駅,台町,塩浜営業所前
105_2,20251201,塩浜営業所前,台町,川崎駅
108_1,20251201,川崎駅,台町,ダイワコーポレーション前
108_2,20251201,川崎マリエン前,台町,川崎駅
109_1,20251201,川崎駅,【急行】,ダイワコーポレーション前
1102_1,20251201,中原駅前,とどろきアリーナ前,小杉駅前
1102_2,20251201,小杉駅前,とどろきアリーナ前,中原駅前
1103_2,20251201,小杉駅前,とどろきアリーナ前,中原駅前
1104_1,20251201,市民ミュージアム,とどろきアリーナ前,小杉駅前
1104_2,20251201,小杉駅前,とどろきアリーナ前,市民ミュージアム
112_1,20251201,川崎駅,台町,かわさきファズ物流センター前
112_2,20251201,かわさきファズ物流センター前,台町,川崎駅
115_1,20251201,川崎駅,台町,ダイワコーポレーション前
116_1,20251201,上平間,御幸公園前,川崎駅ラゾーナ広場
116_2,20251201,川崎駅ラゾーナ広場,御幸公園前,上平間
119_1,20251201,川崎駅,台町,市営埠頭
1208_1,20251201,小杉駅前,新城駅前,溝口駅前
1208_2,20251201,溝口駅前,新城駅前,小杉駅前
123_1,20251201,川崎駅,台町,東扇島西公園前
123_2,20251201,東扇島西公園前,台町,川崎駅
124_1,20251201,川崎駅,台町,東扇島西公園前
125_1,20251201,川崎駅,【区間急行】,東扇島西公園前
126_2,20251201,東扇島西公園前,川崎マリエン前,川崎駅
1310_1,20251201,井田営業所前,元住吉,川崎駅西口
1310_2,20251201,川崎駅西口,元住吉,井田営業所前
1323_1,20251201,蟹ヶ谷,,井田営業所前
1323_2,20251201,井田営業所前,,蟹ヶ谷
1325_1,20251201,井田病院,元住吉,川崎駅西口
1325_2,20251201,川崎駅西口,元住吉,井田病院
1327_1,20251201,井田病院,元住吉,上平間
1327_2,20251201,上平間,元住吉,井田病院
1330_1,20251201,井田病院,,井田営業所前
1330_2,20251201,井田営業所前,,井田病院
1331_1,20251201,新城駅前,,井田病院
1331_2,20251201,井田病院,,新城駅前
1333_1,20251201,新城駅前,,井田営業所前
1333_2,20251201,井田営業所前,,新城駅前
1401_1,20251201,鷺沼駅,,小杉駅前
1401_2,20251201,小杉駅前,,鷺沼駅
1404_1,20251201,鷺沼駅,,井田営業所前
1404_2,20251201,井田営業所前,,鷺沼駅
1411_1,20251201,鷺沼駅,,中原駅前
1411_2,20251201,中原駅前,,鷺沼駅
1413_1,20251201,野川,,小杉駅前
1451_1,20251201,鷺沼駅,,小杉駅前
1451_2,20251201,小杉駅前,,鷺沼駅
1453_1,20251201,鷺沼駅,,野川
1453_2,20251201,野川,,鷺沼駅
1454_1,20251201,鷺沼駅,,久末
1454_2,20251201,久末,,鷺沼駅
1459_1,20251201,鷺沼駅,,中原駅前
1459_2,20251201,中原駅前,,鷺沼駅
1461_2,20251201,小杉駅前,,久末
1501_1,20251201,井田営業所前,,小杉駅前
1501_2,20251201,小杉駅前,,井田営業所前
1502_1,20251201,蟹ヶ谷,,小杉駅前
1502_2,20251201,小杉駅前,,蟹ヶ谷
1503_1,20251201,蟹ヶ谷,,中原駅前
1503_2,20251201,中原駅前,,蟹ヶ谷
