stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1,,青葉幼稚園前,,35.597767,139.507068,,,1,,,,
10,,生田高校前,,35.601060,139.540118,,,1,,,,
100,,河原町,,35.541776,139.694134,,,1,,,,
101,,河原町団地前,,35.540477,139.696679,,,1,,,,
102,,観音一丁目,,35.529549,139.726884,,,1,,,,
103,,観音二丁目川崎大師口,,35.529628,139.729152,,,1,,,,
106,,北浦,,35.629887,139.537443,,,1,,,,
107,,北加瀬,,35.552508,139.659280,,,1,,,,
108,,北加瀬三丁目,,35.556664,139.662761,,,1,,,,
11,,生田宿,,35.618838,139.556079,,,1,,,,
110,,北谷町,,35.561788,139.673559,,,1,,,,
112,,木月上之町,,35.562797,139.648452,,,1,,,,
114,,木月住吉,,35.564872,139.658629,,,1,,,,
115,,木月天王森,,35.561724,139.650008,,,1,,,,
116,,木月四丁目,,35.561625,139.654313,,,1,,,,
117,,カルッツかわさき・富士見公園,,35.529199,139.707936,,,1,,,,
118,,玉川小学校前,,35.563595,139.672304,,,1,,,,
119,,切通し上,,35.606498,139.575143,,,1,,,,
12,,池藤橋,,35.524613,139.725170,,,1,,,,
120,,銀柳街入口,,35.530786,139.700677,,,1,,,,
121,,久地,,35.609477,139.600109,,,1,,,,
122,,久地駅前,,35.610801,139.592578,,,1,,,,
123,,久地消防前,,35.610216,139.595638,,,1,,,,
124,,蔵前,,35.591464,139.643608,,,1,,,,
125,,麻生スポーツセンター入口,,35.600557,139.507181,,,1,,,,
126,,栗田病院前,,35.539622,139.666789,,,1,,,,
127,,栗谷三丁目,,35.611778,139.537828,,,1,,,,
128,,栗谷町会会館下,,35.608605,139.536314,,,1,,,,
129,,栗谷町会会館前,,35.610211,139.537017,,,1,,,,
130,,栗谷二丁目,,35.608938,139.534172,,,1,,,,
131,,栗谷四丁目,,35.610542,139.538686,,,1,,,,
132,,競輪場前,,35.529347,139.710598,,,1,,,,
