table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,ENEOS株式会社塩浜,,,ENEOS株式会社塩浜
stops,stop_name,en,ENEOS Kabushikigaisha Shiohama,,,ENEOS株式会社塩浜
stops,stop_name,zh-CN,引能仕株式会社 盐滨,,,ENEOS株式会社塩浜
stops,stop_name,zh-TW,引能仕株式會社 鹽濱,,,ENEOS株式会社塩浜
stops,stop_name,ko,ENEOS 주식회사 시오하마,,,ENEOS株式会社塩浜
stops,stop_name,ja-Hrkt,えねおす　かぶしきがいしゃ　しおはま,,,ENEOS株式会社塩浜
stops,stop_name,ja,posco前,,,posco前
stops,stop_name,en,posco Mae,,,posco前
stops,stop_name,zh-CN,posco前,,,posco前
stops,stop_name,zh-TW,posco前,,,posco前
stops,stop_name,ko,posco 앞,,,posco前
stops,stop_name,ja-Hrkt,ぽすこまえ,,,posco前
stops,stop_name,ja,いさご通り,,,いさご通り
stops,stop_name,en,Isagodōri,,,いさご通り
stops,stop_name,zh-CN,砂子通,,,いさご通り
stops,stop_name,zh-TW,砂子通,,,いさご通り
stops,stop_name,ko,이사고도오리,,,いさご通り
stops,stop_name,ja-Hrkt,いさごどおり,,,いさご通り
stops,stop_name,ja,おし沼,,,おし沼
stops,stop_name,en,Oshinuma,,,おし沼
stops,stop_name,zh-CN,鸳鸯沼,,,おし沼
stops,stop_name,zh-TW,鴛鴦沼,,,おし沼
stops,stop_name,ko,오시누마,,,おし沼
stops,stop_name,ja-Hrkt,おしぬま,,,おし沼
stops,stop_name,ja,かわさきファズ物流センター前,,,かわさきファズ物流センター前
stops,stop_name,en,Kawasaki Faz Butsuryū Center Mae,,,かわさきファズ物流センター前
stops,stop_name,zh-CN,川崎贸易促进区物流中心前,,,かわさきファズ物流センター前
stops,stop_name,zh-TW,川崎貿易促進區物流中心前,,,かわさきファズ物流センター前
stops,stop_name,ko,가와사키 FAZ 물류센터 앞,,,かわさきファズ物流センター前
stops,stop_name,ja-Hrkt,かわさきふぁずぶつりゅうせんたーまえ,,,かわさきファズ物流センター前
stops,stop_name,ja,かわさき南部斎苑,,,かわさき南部斎苑
stops,stop_name,en,Kawasaki Nambu Saien,,,かわさき南部斎苑
stops,stop_name,zh-CN,川崎南部齐苑,,,かわさき南部斎苑
stops,stop_name,zh-TW,川崎南部齊苑,,,かわさき南部斎苑
stops,stop_name,ko,가와사키 남부 장례식장,,,かわさき南部斎苑
stops,stop_name,ja-Hrkt,かわさきなんぶさいえん,,,かわさき南部斎苑
stops,stop_name,ja,かわさき記念病院前,,,かわさき記念病院前
stops,stop_name,en,Kawasaki Memorial Hospital,,,かわさき記念病院前
stops,stop_name,zh-CN,川崎纪念医院前,,,かわさき記念病院前
stops,stop_name,zh-TW,川崎紀念醫院前,,,かわさき記念病院前
stops,stop_name,ko,가와사키 기념병원 앞,,,かわさき記念病院前
stops,stop_name,ja-Hrkt,かわさききねんびょういんまえ,,,かわさき記念病院前
stops,stop_name,ja,くすのき公園,,,くすのき公園
stops,stop_name,en,Kusunoki Kōen,,,くすのき公園
stops,stop_name,zh-CN,楠木公园,,,くすのき公園
stops,stop_name,zh-TW,楠木公園,,,くすのき公園
stops,stop_name,ko,구스노키 공원,,,くすのき公園
stops,stop_name,ja-Hrkt,くすのきこうえん,,,くすのき公園
