fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
F100,100.0,JPY,0,0,,
F180,180.0,JPY,0,0,,
F200,200.0,JPY,0,0,,
F200(1171_Z0739_09_Z0035_00_02),200.0,JPY,0,0,,
F200(1171_Z1669_01_Z0035_00_02),200.0,JPY,0,0,,
F200(1828_Z0710_01_Z1221_01_02),200.0,JPY,0,0,,
F200(1828_Z0710_01_Z1223_02_02),200.0,JPY,0,0,,
F200(1828_Z0710_01_Z1228_01_02),200.0,JPY,0,0,,
F200(1828_Z0711_01_Z1221_01_02),200.0,JPY,0,0,,
F200(1828_Z0711_01_Z1223_02_02),200.0,JPY,0,0,,
F200(1828_Z0711_01_Z1228_01_02),200.0,JPY,0,0,,
F200(1828_Z0915_05_Z1221_01_02),200.0,JPY,0,0,,
F200(1828_Z0915_05_Z1223_02_02),200.0,JPY,0,0,,
F200(1828_Z0915_05_Z1228_01_02),200.0,JPY,0,0,,
F200(1828_Z1042_01_Z1221_01_02),200.0,JPY,0,0,,
F200(1828_Z1042_01_Z1223_02_02),200.0,JPY,0,0,,
F200(1828_Z1042_01_Z1228_01_02),200.0,JPY,0,0,,
F200(1828_Z1043_01_Z1221_01_02),200.0,JPY,0,0,,
F200(1828_Z1043_01_Z1223_02_02),200.0,JPY,0,0,,
F200(1828_Z1043_01_Z1228_01_02),200.0,JPY,0,0,,
F200(1828_Z1159_01_Z1221_01_02),200.0,JPY,0,0,,
F200(1828_Z1159_01_Z1223_02_02),200.0,JPY,0,0,,
F200(1828_Z1159_01_Z1228_01_02),200.0,JPY,0,0,,
F200(1828_Z1221_01_Z0710_02_02),200.0,JPY,0,0,,
F200(1828_Z1221_01_Z0711_02_02),200.0,JPY,0,0,,
F200(1828_Z1221_01_Z0915_00_02),200.0,JPY,0,0,,
F200(1828_Z1221_01_Z1042_02_02),200.0,JPY,0,0,,
F200(1828_Z1221_01_Z1043_02_02),200.0,JPY,0,0,,
F200(1828_Z1221_01_Z1159_02_02),200.0,JPY,0,0,,
F200(1828_Z1221_01_Z1223_02_02),200.0,JPY,0,0,,
F200(1828_Z1221_01_Z1228_01_02),200.0,JPY,0,0,,
F200(1828_Z1221_01_Z1456_02_02),200.0,JPY,0,0,,
F200(1828_Z1223_02_Z0710_02_02),200.0,JPY,0,0,,
F200(1828_Z1223_02_Z0711_02_02),200.0,JPY,0,0,,
F200(1828_Z1223_02_Z0915_00_02),200.0,JPY,0,0,,
F200(1828_Z1223_02_Z1042_02_02),200.0,JPY,0,0,,
F200(1828_Z1223_02_Z1043_02_02),200.0,JPY,0,0,,
F200(1828_Z1223_02_Z1159_02_02),200.0,JPY,0,0,,
F200(1828_Z1223_02_Z1221_01_02),200.0,JPY,0,0,,
F200(1828_Z1223_02_Z1228_01_02),200.0,JPY,0,0,,
F200(1828_Z1223_02_Z1456_02_02),200.0,JPY,0,0,,
F200(1828_Z1228_01_Z0710_02_02),200.0,JPY,0,0,,
F200(1828_Z1228_01_Z0711_02_02),200.0,JPY,0,0,,
F200(1828_Z1228_01_Z0915_00_02),200.0,JPY,0,0,,
F200(1828_Z1228_01_Z1042_02_02),200.0,JPY,0,0,,
F200(1828_Z1228_01_Z1043_02_02),200.0,JPY,0,0,,
F200(1828_Z1228_01_Z1159_02_02),200.0,JPY,0,0,,
F200(1828_Z1228_01_Z1223_02_02),200.0,JPY,0,0,,
F200(1828_Z1228_01_Z1456_02_02),200.0,JPY,0,0,,
F200(1828_Z1456_01_Z1221_01_02),200.0,JPY,0,0,,
F200(1828_Z1456_01_Z1223_02_02),200.0,JPY,0,0,,
F200(1828_Z1456_01_Z1228_01_02),200.0,JPY,0,0,,
F210,210.0,JPY,0,0,,
F220,220.0,JPY,0,0,,
F230,230.0,JPY,0,0,,
F240,240.0,JPY,0,0,,
F240(1171_Z0739_09_Z0035_00_01),240.0,JPY,0,0,,
F240(1171_Z1669_01_Z0035_00_01),240.0,JPY,0,0,,
F240(609_Z0740_02_Z0739_00_01),240.0,JPY,0,0,,
F240(937_Z0163_01_Z0979_00_02),240.0,JPY,0,0,,
F240(937_Z0912_00_Z0979_00_02),240.0,JPY,0,0,,
F250,250.0,JPY,0,0,,
F260,260.0,JPY,0,0,,
F260(1828_Z0710_01_Z1223_02_01),260.0,JPY,0,0,,
F260(1828_Z0711_01_Z1223_02_01),260.0,JPY,0,0,,
F260(1828_Z1043_01_Z1223_02_01),260.0,JPY,0,0,,
F260(1828_Z1221_01_Z1223_02_01),260.0,JPY,0,0,,
F260(1828_Z1223_02_Z0710_02_01),260.0,JPY,0,0,,
F260(1828_Z1223_02_Z0711_02_01),260.0,JPY,0,0,,
F260(1828_Z1223_02_Z1043_02_01),260.0,JPY,0,0,,
F260(1828_Z1223_02_Z1221_01_01),260.0,JPY,0,0,,
F260(1828_Z1223_02_Z1228_01_01),260.0,JPY,0,0,,
F260(1828_Z1228_01_Z1223_02_01),260.0,JPY,0,0,,
F260(937_Z0163_02_Z0979_00_02),260.0,JPY,0,0,,
F270,270.0,JPY,0,0,,
F270(1828_Z0915_05_Z1223_02_01),270.0,JPY,0,0,,
F270(1828_Z1042_01_Z1223_02_01),270.0,JPY,0,0,,
F270(1828_Z1159_01_Z1223_02_01),270.0,JPY,0,0,,
F270(1828_Z1223_02_Z0915_00_01),270.0,JPY,0,0,,
F270(1828_Z1223_02_Z1042_02_01),270.0,JPY,0,0,,
F270(1828_Z1223_02_Z1159_02_01),270.0,JPY,0,0,,
F270(1828_Z1223_02_Z1456_02_01),270.0,JPY,0,0,,
F270(1828_Z1456_01_Z1223_02_01),270.0,JPY,0,0,,
F280,280.0,JPY,0,0,,
F280(937_Z0753_00_Z0979_00_02),280.0,JPY,0,0,,
F300,300.0,JPY,0,0,,
F300(1828_Z0710_01_Z1221_01_01),300.0,JPY,0,0,,
F300(1828_Z0710_01_Z1228_01_01),300.0,JPY,0,0,,
F300(1828_Z0711_01_Z1221_01_01),300.0,JPY,0,0,,
F300(1828_Z0711_01_Z1228_01_01),300.0,JPY,0,0,,
F300(1828_Z1043_01_Z1221_01_01),300.0,JPY,0,0,,
F300(1828_Z1043_01_Z1228_01_01),300.0,JPY,0,0,,
F300(1828_Z1221_01_Z0710_02_01),300.0,JPY,0,0,,
F300(1828_Z1221_01_Z0711_02_01),300.0,JPY,0,0,,
F300(1828_Z1221_01_Z1043_02_01),300.0,JPY,0,0,,
F300(1828_Z1221_01_Z1228_01_01),300.0,JPY,0,0,,
F300(1828_Z1228_01_Z0710_02_01),300.0,JPY,0,0,,
F300(1828_Z1228_01_Z0711_02_01),300.0,JPY,0,0,,
F300(1828_Z1228_01_Z1043_02_01),300.0,JPY,0,0,,
F310,310.0,JPY,0,0,,
F310(1828_Z0915_05_Z1221_01_01),310.0,JPY,0,0,,
F310(1828_Z0915_05_Z1228_01_01),310.0,JPY,0,0,,
F310(1828_Z1042_01_Z1221_01_01),310.0,JPY,0,0,,
F310(1828_Z1042_01_Z1228_01_01),310.0,JPY,0,0,,
F310(1828_Z1159_01_Z1221_01_01),310.0,JPY,0,0,,
F310(1828_Z1159_01_Z1228_01_01),310.0,JPY,0,0,,
F310(1828_Z1221_01_Z0915_00_01),310.0,JPY,0,0,,
F310(1828_Z1221_01_Z1042_02_01),310.0,JPY,0,0,,
F310(1828_Z1221_01_Z1159_02_01),310.0,JPY,0,0,,
F310(1828_Z1221_01_Z1456_02_01),310.0,JPY,0,0,,
F310(1828_Z1228_01_Z0915_00_01),310.0,JPY,0,0,,
F310(1828_Z1228_01_Z1042_02_01),310.0,JPY,0,0,,
F310(1828_Z1228_01_Z1159_02_01),310.0,JPY,0,0,,
F310(1828_Z1228_01_Z1456_02_01),310.0,JPY,0,0,,
F310(1828_Z1456_01_Z1221_01_01),310.0,JPY,0,0,,
F310(1828_Z1456_01_Z1228_01_01),310.0,JPY,0,0,,
F320,320.0,JPY,0,0,,
F330,330.0,JPY,0,0,,
F340,340.0,JPY,0,0,,
F350,350.0,JPY,0,0,,
F360,360.0,JPY,0,0,,
F360(937_Z0753_00_Z0979_00_01),360.0,JPY,0,0,,
F370,370.0,JPY,0,0,,
F380,380.0,JPY,0,0,,
F390,390.0,JPY,0,0,,
F400,400.0,JPY,0,0,,
F400(937_Z0163_01_Z0979_00_01),400.0,JPY,0,0,,
F410,410.0,JPY,0,0,,
F420,420.0,JPY,0,0,,
F420(937_Z0163_02_Z0979_00_01),420.0,JPY,0,0,,
F420(937_Z0912_00_Z0979_00_01),420.0,JPY,0,0,,
F430,430.0,JPY,0,0,,
F440,440.0,JPY,0,0,,
F460,460.0,JPY,0,0,,
F470,470.0,JPY,0,0,,
F480,480.0,JPY,0,0,,
F500,500.0,JPY,0,0,,
F520,520.0,JPY,0,0,,
F540,540.0,JPY,0,0,,
F560,560.0,JPY,0,0,,
F600,600.0,JPY,0,0,,
F620,620.0,JPY,0,0,,
F660,660.0,JPY,0,0,,
F680,680.0,JPY,0,0,,
F700,700.0,JPY,0,0,,
F720,720.0,JPY,0,0,,
F740,740.0,JPY,0,0,,
F760,760.0,JPY,0,0,,
F780,780.0,JPY,0,0,,
F800,800.0,JPY,0,0,,
F840,840.0,JPY,0,0,,
