fare_id,route_id,origin_id,destination_id,contains_id
F200,2,Z0301_02,Z0825_02,
F200,2,Z0301_02,Z0827_00,
F200,2,Z0825_02,Z0827_00,
F200,2,Z0301_02,Z1139_00,
F200,2,Z0825_02,Z1139_00,
F200,2,Z0827_00,Z1139_00,
F200,2,Z0301_02,Z0516_02,
F200,2,Z0825_02,Z0516_02,
F200,2,Z0827_00,Z0516_02,
F200,2,Z1139_00,Z0516_02,
F230,2,Z0301_02,Z0293_02,
F230,2,Z0825_02,Z0293_02,
F200,2,Z0827_00,Z0293_02,
F200,2,Z1139_00,Z0293_02,
F200,2,Z0516_02,Z0293_02,
F230,2,Z0301_02,Z0294_02,
F230,2,Z0825_02,Z0294_02,
F200,2,Z0827_00,Z0294_02,
F200,2,Z1139_00,Z0294_02,
F200,2,Z0516_02,Z0294_02,
F200,2,Z0293_02,Z0294_02,
F230,2,Z0301_02,Z1470_02,
F230,2,Z0825_02,Z1470_02,
F200,2,Z0827_00,Z1470_02,
F200,2,Z1139_00,Z1470_02,
F200,2,Z0516_02,Z1470_02,
F200,2,Z0293_02,Z1470_02,
F200,2,Z0294_02,Z1470_02,
F230,2,Z0301_02,Z1469_00,
F230,2,Z0825_02,Z1469_00,
F200,2,Z0827_00,Z1469_00,
F200,2,Z1139_00,Z1469_00,
F200,2,Z0516_02,Z1469_00,
F200,2,Z0293_02,Z1469_00,
F200,2,Z0294_02,Z1469_00,
F200,2,Z1470_02,Z1469_00,
F280,2,Z0301_02,Z1468_02,
F280,2,Z0825_02,Z1468_02,
F230,2,Z0827_00,Z1468_02,
F230,2,Z1139_00,Z1468_02,
F200,2,Z0516_02,Z1468_02,
F200,2,Z0293_02,Z1468_02,
F200,2,Z0294_02,Z1468_02,
F200,2,Z1470_02,Z1468_02,
F200,2,Z1469_00,Z1468_02,
F280,2,Z0301_02,Z1530_02,
F280,2,Z0825_02,Z1530_02,
F230,2,Z0827_00,Z1530_02,
F230,2,Z1139_00,Z1530_02,
F200,2,Z0516_02,Z1530_02,
F200,2,Z0293_02,Z1530_02,
F200,2,Z0294_02,Z1530_02,
F200,2,Z1470_02,Z1530_02,
F200,2,Z1469_00,Z1530_02,
F200,2,Z1468_02,Z1530_02,
F330,2,Z0301_02,Z0459_02,
F330,2,Z0825_02,Z0459_02,
F280,2,Z0827_00,Z0459_02,
F280,2,Z1139_00,Z0459_02,
F240,2,Z0516_02,Z0459_02,
F240,2,Z0293_02,Z0459_02,
F240,2,Z0294_02,Z0459_02,
F240,2,Z1470_02,Z0459_02,
F200,2,Z1469_00,Z0459_02,
F200,2,Z1468_02,Z0459_02,
F200,2,Z1530_02,Z0459_02,
F330,2,Z0301_02,Z0458_02,
F330,2,Z0825_02,Z0458_02,
F280,2,Z0827_00,Z0458_02,
F280,2,Z1139_00,Z0458_02,
F240,2,Z0516_02,Z0458_02,
F240,2,Z0293_02,Z0458_02,
F240,2,Z0294_02,Z0458_02,
F240,2,Z1470_02,Z0458_02,
F200,2,Z1469_00,Z0458_02,
F200,2,Z1468_02,Z0458_02,
F200,2,Z1530_02,Z0458_02,
F200,2,Z0459_02,Z0458_02,
F330,2,Z0301_02,Z1034_00,
F330,2,Z0825_02,Z1034_00,
F280,2,Z0827_00,Z1034_00,
F280,2,Z1139_00,Z1034_00,
F240,2,Z0516_02,Z1034_00,
F240,2,Z0293_02,Z1034_00,
F240,2,Z0294_02,Z1034_00,
F240,2,Z1470_02,Z1034_00,
F200,2,Z1469_00,Z1034_00,
F200,2,Z1468_02,Z1034_00,
F200,2,Z1530_02,Z1034_00,
F200,2,Z0459_02,Z1034_00,
F200,2,Z0458_02,Z1034_00,
F200,2,Z1034_01,Z1033_01,
F200,2,Z1034_01,Z0458_01,
F200,2,Z1033_01,Z0458_01,
F200,2,Z1034_01,Z0459_01,
F200,2,Z1033_01,Z0459_01,
F200,2,Z0458_01,Z0459_01,
F200,2,Z1034_01,Z1530_01,
F200,2,Z1033_01,Z1530_01,
F200,2,Z0458_01,Z1530_01,
F200,2,Z0459_01,Z1530_01,
F200,2,Z1034_01,Z1468_01,
F200,2,Z1033_01,Z1468_01,
F200,2,Z0458_01,Z1468_01,
F200,2,Z0459_01,Z1468_01,
F200,2,Z1530_01,Z1468_01,
F200,2,Z1034_01,Z1469_02,
F200,2,Z1033_01,Z1469_02,
F200,2,Z0458_01,Z1469_02,
F200,2,Z0459_01,Z1469_02,
F200,2,Z1530_01,Z1469_02,
F200,2,Z1468_01,Z1469_02,
F240,2,Z1034_01,Z1470_01,
F240,2,Z1033_01,Z1470_01,
F240,2,Z0458_01,Z1470_01,
F240,2,Z0459_01,Z1470_01,
F200,2,Z1530_01,Z1470_01,
F200,2,Z1468_01,Z1470_01,
F200,2,Z1469_02,Z1470_01,
F240,2,Z1034_01,Z0294_01,
F240,2,Z1033_01,Z0294_01,
F240,2,Z0458_01,Z0294_01,
F240,2,Z0459_01,Z0294_01,
F200,2,Z1530_01,Z0294_01,
F200,2,Z1468_01,Z0294_01,
F200,2,Z1469_02,Z0294_01,
F200,2,Z1470_01,Z0294_01,
F240,2,Z1034_01,Z0293_01,
F240,2,Z1033_01,Z0293_01,
F240,2,Z0458_01,Z0293_01,
F240,2,Z0459_01,Z0293_01,
F200,2,Z1530_01,Z0293_01,
F200,2,Z1468_01,Z0293_01,
F200,2,Z1469_02,Z0293_01,
F200,2,Z1470_01,Z0293_01,
F200,2,Z0294_01,Z0293_01,
F240,2,Z1034_01,Z0516_01,
F240,2,Z1033_01,Z0516_01,
F240,2,Z0458_01,Z0516_01,
F240,2,Z0459_01,Z0516_01,
F200,2,Z1530_01,Z0516_01,
F200,2,Z1468_01,Z0516_01,
F200,2,Z1469_02,Z0516_01,
F200,2,Z1470_01,Z0516_01,
F200,2,Z0294_01,Z0516_01,
F200,2,Z0293_01,Z0516_01,
F280,2,Z1034_01,Z1139_01,
F280,2,Z1033_01,Z1139_01,
F280,2,Z0458_01,Z1139_01,
F280,2,Z0459_01,Z1139_01,
F230,2,Z1530_01,Z1139_01,
F230,2,Z1468_01,Z1139_01,
F200,2,Z1469_02,Z1139_01,
F200,2,Z1470_01,Z1139_01,
F200,2,Z0294_01,Z1139_01,
F200,2,Z0293_01,Z1139_01,
F200,2,Z0516_01,Z1139_01,
F280,2,Z1034_01,Z0827_01,
F280,2,Z1033_01,Z0827_01,
F280,2,Z0458_01,Z0827_01,
F280,2,Z0459_01,Z0827_01,
F230,2,Z1530_01,Z0827_01,
F230,2,Z1468_01,Z0827_01,
F200,2,Z1469_02,Z0827_01,
F200,2,Z1470_01,Z0827_01,
F200,2,Z0294_01,Z0827_01,
F200,2,Z0293_01,Z0827_01,
F200,2,Z0516_01,Z0827_01,
F200,2,Z1139_01,Z0827_01,
F330,2,Z1034_01,Z0825_01,
F330,2,Z1033_01,Z0825_01,
F330,2,Z0458_01,Z0825_01,
F330,2,Z0459_01,Z0825_01,
F280,2,Z1530_01,Z0825_01,
F280,2,Z1468_01,Z0825_01,
F230,2,Z1469_02,Z0825_01,
F230,2,Z1470_01,Z0825_01,
F230,2,Z0294_01,Z0825_01,
F230,2,Z0293_01,Z0825_01,
F200,2,Z0516_01,Z0825_01,
F200,2,Z1139_01,Z0825_01,
F200,2,Z0827_01,Z0825_01,
F330,2,Z1034_01,Z0301_00,
F330,2,Z1033_01,Z0301_00,
F330,2,Z0458_01,Z0301_00,
F330,2,Z0459_01,Z0301_00,
F280,2,Z1530_01,Z0301_00,
F280,2,Z1468_01,Z0301_00,
F230,2,Z1469_02,Z0301_00,
F230,2,Z1470_01,Z0301_00,
F230,2,Z0294_01,Z0301_00,
F230,2,Z0293_01,Z0301_00,
F200,2,Z0516_01,Z0301_00,
F200,2,Z1139_01,Z0301_00,
F200,2,Z0827_01,Z0301_00,
F200,2,Z0825_01,Z0301_00,
F200,4,Z1108_00,Z0405_07,
F200,4,Z1108_00,Z0403_01,
F200,4,Z0405_07,Z0403_01,
F200,4,Z1108_00,Z1560_01,
F200,4,Z0405_07,Z1560_01,
F200,4,Z0403_01,Z1560_01,
F200,4,Z1108_00,Z1445_01,
F200,4,Z0405_07,Z1445_01,
F200,4,Z0403_01,Z1445_01,
F200,4,Z1560_01,Z1445_01,
F200,4,Z1108_00,Z0481_01,
F200,4,Z0405_07,Z0481_01,
F200,4,Z0403_01,Z0481_01,
F200,4,Z1560_01,Z0481_01,
F200,4,Z1445_01,Z0481_01,
F200,4,Z1108_00,Z1253_01,
F200,4,Z0405_07,Z1253_01,
F200,4,Z0403_01,Z1253_01,
F200,4,Z1560_01,Z1253_01,
F200,4,Z1445_01,Z1253_01,
F200,4,Z0481_01,Z1253_01,
F210,4,Z1108_00,Z0501_01,
F210,4,Z0405_07,Z0501_01,
F210,4,Z0403_01,Z0501_01,
F210,4,Z1560_01,Z0501_01,
F210,4,Z1445_01,Z0501_01,
F210,4,Z0481_01,Z0501_01,
F200,4,Z1253_01,Z0501_01,
F210,4,Z1108_00,Z1492_01,
F210,4,Z0405_07,Z1492_01,
F210,4,Z0403_01,Z1492_01,
F210,4,Z1560_01,Z1492_01,
F210,4,Z1445_01,Z1492_01,
F210,4,Z0481_01,Z1492_01,
F200,4,Z1253_01,Z1492_01,
F200,4,Z0501_01,Z1492_01,
F210,4,Z1108_00,Z0383_01,
F210,4,Z0405_07,Z0383_01,
F210,4,Z0403_01,Z0383_01,
F210,4,Z1560_01,Z0383_01,
F210,4,Z1445_01,Z0383_01,
F210,4,Z0481_01,Z0383_01,
F200,4,Z1253_01,Z0383_01,
F200,4,Z0501_01,Z0383_01,
F200,4,Z1492_01,Z0383_01,
F210,4,Z1108_00,Z1034_00,
F210,4,Z0405_07,Z1034_00,
F210,4,Z0403_01,Z1034_00,
F210,4,Z1560_01,Z1034_00,
F210,4,Z1445_01,Z1034_00,
F210,4,Z0481_01,Z1034_00,
F200,4,Z1253_01,Z1034_00,
F200,4,Z0501_01,Z1034_00,
F200,4,Z1492_01,Z1034_00,
F200,4,Z0383_01,Z1034_00,
F200,4,Z1034_00,Z1033_02,
F200,4,Z1034_00,Z0383_02,
F200,4,Z1033_02,Z0383_02,
F200,4,Z1034_00,Z1492_02,
F200,4,Z1033_02,Z1492_02,
F200,4,Z0383_02,Z1492_02,
F200,4,Z1034_00,Z0501_02,
F200,4,Z1033_02,Z0501_02,
F200,4,Z0383_02,Z0501_02,
F200,4,Z1492_02,Z0501_02,
F200,4,Z1034_00,Z1253_02,
F200,4,Z1033_02,Z1253_02,
F200,4,Z0383_02,Z1253_02,
F200,4,Z1492_02,Z1253_02,
F200,4,Z0501_02,Z1253_02,
F210,4,Z1034_00,Z0481_02,
F210,4,Z1033_02,Z0481_02,
F210,4,Z0383_02,Z0481_02,
F210,4,Z1492_02,Z0481_02,
F210,4,Z0501_02,Z0481_02,
F200,4,Z1253_02,Z0481_02,
F210,4,Z1034_00,Z1445_02,
F210,4,Z1033_02,Z1445_02,
F210,4,Z0383_02,Z1445_02,
F210,4,Z1492_02,Z1445_02,
F210,4,Z0501_02,Z1445_02,
F200,4,Z1253_02,Z1445_02,
F200,4,Z0481_02,Z1445_02,
F210,4,Z1034_00,Z1560_02,
F210,4,Z1033_02,Z1560_02,
F210,4,Z0383_02,Z1560_02,
F210,4,Z1492_02,Z1560_02,
F210,4,Z0501_02,Z1560_02,
F200,4,Z1253_02,Z1560_02,
F200,4,Z0481_02,Z1560_02,
F200,4,Z1445_02,Z1560_02,
F210,4,Z1034_00,Z0403_02,
F210,4,Z1033_02,Z0403_02,
F210,4,Z0383_02,Z0403_02,
F210,4,Z1492_02,Z0403_02,
F210,4,Z0501_02,Z0403_02,
F200,4,Z1253_02,Z0403_02,
F200,4,Z0481_02,Z0403_02,
F200,4,Z1445_02,Z0403_02,
F200,4,Z1560_02,Z0403_02,
F210,4,Z1034_00,Z0405_02,
F210,4,Z1033_02,Z0405_02,
F210,4,Z0383_02,Z0405_02,
F210,4,Z1492_02,Z0405_02,
F210,4,Z0501_02,Z0405_02,
F200,4,Z1253_02,Z0405_02,
F200,4,Z0481_02,Z0405_02,
F200,4,Z1445_02,Z0405_02,
F200,4,Z1560_02,Z0405_02,
F200,4,Z0403_02,Z0405_02,
F210,4,Z1034_00,Z1108_00,
F210,4,Z1033_02,Z1108_00,
F210,4,Z0383_02,Z1108_00,
F210,4,Z1492_02,Z1108_00,
F210,4,Z0501_02,Z1108_00,
F200,4,Z1253_02,Z1108_00,
F200,4,Z0481_02,Z1108_00,
F200,4,Z1445_02,Z1108_00,
F200,4,Z1560_02,Z1108_00,
F200,4,Z0403_02,Z1108_00,
F200,4,Z0405_02,Z1108_00,
F200,5,Z1108_00,Z0405_07,
F200,5,Z1108_00,Z0403_01,
F200,5,Z0405_07,Z0403_01,
F200,5,Z1108_00,Z1560_01,
F200,5,Z0405_07,Z1560_01,
F200,5,Z0403_01,Z1560_01,
F200,5,Z1108_00,Z1445_01,
F200,5,Z0405_07,Z1445_01,
F200,5,Z0403_01,Z1445_01,
F200,5,Z1560_01,Z1445_01,
F200,5,Z1108_00,Z0481_01,
F200,5,Z0405_07,Z0481_01,
F200,5,Z0403_01,Z0481_01,
F200,5,Z1560_01,Z0481_01,
F200,5,Z1445_01,Z0481_01,
F200,5,Z1108_00,Z1253_01,
F200,5,Z0405_07,Z1253_01,
F200,5,Z0403_01,Z1253_01,
F200,5,Z1560_01,Z1253_01,
F200,5,Z1445_01,Z1253_01,
F200,5,Z0481_01,Z1253_01,
F210,5,Z1108_00,Z0501_01,
F210,5,Z0405_07,Z0501_01,
F210,5,Z0403_01,Z0501_01,
F210,5,Z1560_01,Z0501_01,
F210,5,Z1445_01,Z0501_01,
F210,5,Z0481_01,Z0501_01,
F200,5,Z1253_01,Z0501_01,
F210,5,Z1108_00,Z1492_01,
F210,5,Z0405_07,Z1492_01,
F210,5,Z0403_01,Z1492_01,
F210,5,Z1560_01,Z1492_01,
F210,5,Z1445_01,Z1492_01,
F210,5,Z0481_01,Z1492_01,
F200,5,Z1253_01,Z1492_01,
F200,5,Z0501_01,Z1492_01,
F210,5,Z1108_00,Z0383_01,
F210,5,Z0405_07,Z0383_01,
F210,5,Z0403_01,Z0383_01,
F210,5,Z1560_01,Z0383_01,
F210,5,Z1445_01,Z0383_01,
F210,5,Z0481_01,Z0383_01,
F200,5,Z1253_01,Z0383_01,
F200,5,Z0501_01,Z0383_01,
F200,5,Z1492_01,Z0383_01,
