route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,jp_parent_route_id
2,9013401002381,西５５,,,3,,,,,
4,9013401002381,八９４,,,3,,,,,
5,9013401002381,八９６,,,3,,,,,
6,9013401002381,西５６,,,3,,,,,
12,9013401002381,日５０,,,3,,,,,
12深夜,9013401002381,日５０深夜,,,3,,,,,
15,9013401002381,豊５６,,,3,,,,,
16,9013401002381,豊４１,,,3,,,,,
19,9013401002381,八５９,,,3,,,,,
20,9013401002381,八５８,,,3,,,,,
25,9013401002381,高２３,,,3,,,,,
27,9013401002381,高２５,,,3,,,,,
30,9013401002381,日０４,,,3,,,,,
31,9013401002381,西６２,,,3,,,,,
33,9013401002381,八９９,,,3,,,,,
35,9013401002381,車庫,,,3,,,,,
236,9013401002381,宿４１,,,3,,,,,
237,9013401002381,宿４５,,,3,,,,,
238,9013401002381,渋６３,,,3,,,,,
238深夜,9013401002381,渋６３深夜,,,3,,,,,
240,9013401002381,中９２,,,3,,,,,
240深夜,9013401002381,中９２深夜,,,3,,,,,
245,9013401002381,渋６４,,,3,,,,,
245深夜,9013401002381,渋６４深夜,,,3,,,,,
262,9013401002381,宿３３,,,3,,,,,
262深夜,9013401002381,宿３３深夜,,,3,,,,,
263,9013401002381,すぎ丸 けやき路線,,,3,,,,,
265,9013401002381,すぎ丸 さくら路線,,,3,,,,,
268,9013401002381,鷹６４,,,3,,,,,
273,9013401002381,宿３２,,,3,,,,,
275,9013401002381,高４５,,,3,,,,,
276,9013401002381,新０２,,,3,,,,,
288,9013401002381,八０１,,,3,,,,,
290,9013401002381,永７０,,,3,,,,,
346,9013401002381,丘２１,,,3,,,,,
351,9013401002381,調３４,,,3,,,,,
354,9013401002381,調２１,,,3,,,,,
360,9013401002381,調０１,,,3,,,,,
362,9013401002381,調４１,,,3,,,,,
363,9013401002381,みたかシティバス 新川・中原ルート,,,3,,,,,
365,9013401002381,調布市ミニバス 調４３ 西路線,,,3,,,,,
366,9013401002381,調布市ミニバス 調３７ 北路線,,,3,,,,,
370,9013401002381,飛０１,,,3,,,,,
373,9013401002381,飛０２,,,3,,,,,
376,9013401002381,調５１,,,3,,,,,
379,9013401002381,丘２２,,,3,,,,,
443,9013401002381,寺９１,,,3,,,,,
443深夜,9013401002381,寺９１深夜,,,3,,,,,
446,9013401002381,国０２,,,3,,,,,
447,9013401002381,国０３,,,3,,,,,
448,9013401002381,府２１,,,3,,,,,
450,9013401002381,武７１,,,3,,,,,
452,9013401002381,武７３,,,3,,,,,
452深夜,9013401002381,武７３深夜,,,3,,,,,
454,9013401002381,国１７,,,3,,,,,
460,9013401002381,府５２,,,3,,,,,
461,9013401002381,分５２,,,3,,,,,
462,9013401002381,府６１,,,3,,,,,
471,9013401002381,寺９２,,,3,,,,,
473,9013401002381,西国０１,,,3,,,,,
476,9013401002381,CoCoバス 北東部循環,,,3,,,,,
479,9013401002381,CoCoバス 中町循環,,,3,,,,,
483,9013401002381,ちゅうバス 多磨町ルート,,,3,,,,,
484,9013401002381,ちゅうバス 是政循環,,,3,,,,,
486,9013401002381,ちゅうバス 北山町循環,,,3,,,,,
487,9013401002381,ちゅうバス 四谷六丁目ルート,,,3,,,,,
488,9013401002381,ちゅうバス 朝日町ルート,,,3,,,,,
489,9013401002381,ちゅうバス 押立町ルート,,,3,,,,,
490,9013401002381,府０１,,,3,,,,,
491,9013401002381,寺８３,,,3,,,,,
493,9013401002381,国０１,,,3,,,,,
570,9013401002381,多１３,,,3,,,,,
572,9013401002381,桜２２,,,3,,,,,
584,9013401002381,稲１２,,,3,,,,,
590,9013401002381,多４３,,,3,,,,,
591,9013401002381,多４４,,,3,,,,,
593,9013401002381,桜４６,,,3,,,,,
595,9013401002381,永６５,,,3,,,,,
601,9013401002381,多１７,,,3,,,,,
602,9013401002381,多１１,,,3,,,,,
607,9013401002381,桜６２,,,3,,,,,
608,9013401002381,多１６,,,3,,,,,
609,9013401002381,京王 直行,,,3,,,,,
612,9013401002381,多６１,,,3,,,,,
662,9013401002381,八０４,,,3,,,,,
664,9013401002381,高２４,,,3,,,,,
667,9013401002381,高２６,,,3,,,,,
668,9013401002381,堀０１,,,3,,,,,
669,9013401002381,堀０２,,,3,,,,,
670,9013401002381,八６５,,,3,,,,,
675,9013401002381,北０６,,,3,,,,,
676,9013401002381,み０３,,,3,,,,,
677,9013401002381,八６９,,,3,,,,,
680,9013401002381,八６６,,,3,,,,,
681,9013401002381,八６０,,,3,,,,,
681深夜,9013401002381,八６０深夜,,,3,,,,,
682,9013401002381,南５２,,,3,,,,,
683,9013401002381,南５１,,,3,,,,,
684,9013401002381,北０３,,,3,,,,,
685,9013401002381,北０２,,,3,,,,,
687,9013401002381,八６１,,,3,,,,,
689,9013401002381,北０９,,,3,,,,,
692,9013401002381,南６０,,,3,,,,,
692深夜,9013401002381,南６０深夜,,,3,,,,,
694,9013401002381,南６１,,,3,,,,,
695,9013401002381,南６２,,,3,,,,,
696,9013401002381,堀０３,,,3,,,,,
697,9013401002381,南６３,,,3,,,,,
699,9013401002381,桜８０,,,3,,,,,
699深夜,9013401002381,桜８０深夜,,,3,,,,,
700,9013401002381,桜８３,,,3,,,,,
703,9013401002381,平０４,,,3,,,,,
705,9013401002381,平０２,,,3,,,,,
706,9013401002381,平０１,,,3,,,,,
707,9013401002381,堀０４,,,3,,,,,
708,9013401002381,南６４,,,3,,,,,
710,9013401002381,高０１,,,3,,,,,
712,9013401002381,め８２,,,3,,,,,
713,9013401002381,八８１,,,3,,,,,
718,9013401002381,八７０,,,3,,,,,
719,9013401002381,桜８８,,,3,,,,,
813,9013401002381,武４１,,,3,,,,,
814,9013401002381,武３２,,,3,,,,,
815,9013401002381,武３１,,,3,,,,,
815深夜,9013401002381,武３１深夜,,,3,,,,,
888,9013401002381,府４２,,,3,,,,,
904,9013401002381,府４６,,,3,,,,,
909,9013401002381,寺９１央,,,3,,,,,
913,9013401002381,渋６９,,,3,,,,,
921,9013401002381,歳２３,,,3,,,,,
931,9013401002381,調布市ミニバス 調３６ 北路線,,,3,,,,,
932,9013401002381,桜２８,,,3,,,,,
937,9013401002381,多摩市ミニバス 東西線,,,3,,,,,
1021,9013401002381,武６６,,,3,,,,,
1066,9013401002381,渋６８,,,3,,,,,
1072,9013401002381,中７１,,,3,,,,,
1131,9013401002381,桜２５,,,3,,,,,
1132,9013401002381,永１４,,,3,,,,,
1135,9013401002381,多０１,,,3,,,,,
1137,9013401002381,多０５,,,3,,,,,
1142,9013401002381,桜４７,,,3,,,,,
1146,9013401002381,み０４,,,3,,,,,
1146深夜,9013401002381,み０４深夜,,,3,,,,,
1167,9013401002381,永６６,,,3,,,,,
1170,9013401002381,多摩市ミニバス 南北線（桜ヶ丘・和田ルート）,,,3,,,,,
1171,9013401002381,多摩市ミニバス 南北線（愛宕ルート）,,,3,,,,,
1193,9013401002381,武５６,,,3,,,,,
1213,9013401002381,府０２,,,3,,,,,
1234,9013401002381,新宿ＷＥバス 西ルート,,,3,,,,,
1302,9013401002381,ちゅうバス よつや苑西ルート,,,3,,,,,
1430,9013401002381,高２８,,,3,,,,,
1431,9013401002381,多１８,,,3,,,,,
1433,9013401002381,め８３,,,3,,,,,
1439,9013401002381,調３９,,,3,,,,,
1441,9013401002381,中９１,,,3,,,,,
1465,9013401002381,八９８,,,3,,,,,
1466,9013401002381,め０５,,,3,,,,,
1470,9013401002381,め０６,,,3,,,,,
1508,9013401002381,八６７,,,3,,,,,
1534,9013401002381,烏５１,,,3,,,,,
1535,9013401002381,経０２,,,3,,,,,
1538,9013401002381,丘３１,,,3,,,,,
1540,9013401002381,鷹６６,,,3,,,,,
1542,9013401002381,八９１,,,3,,,,,
1551,9013401002381,若０２,,,3,,,,,
1555,9013401002381,稲２２,,,3,,,,,
1572,9013401002381,堀３３,,,3,,,,,
1574,9013401002381,北１０,,,3,,,,,
1650,9013401002381,調３３,,,3,,,,,
1663,9013401002381,永３４,,,3,,,,,
1664,9013401002381,桜０６,,,3,,,,,
1666,9013401002381,桜０７,,,3,,,,,
1674,9013401002381,豊３２,,,3,,,,,
1675,9013401002381,豊３３,,,3,,,,,
1676,9013401002381,寺０１,,,3,,,,,
1752,9013401002381,東０２,,,3,,,,,
1770,9013401002381,中８２,,,3,,,,,
1770深夜,9013401002381,中８２深夜,,,3,,,,,
1774,9013401002381,多４５,,,3,,,,,
1776,9013401002381,府７５,,,3,,,,,
1807,9013401002381,国１８,,,3,,,,,
1810,9013401002381,中０３,,,3,,,,,
1813,9013401002381,中０２,,,3,,,,,
1814,9013401002381,桜０８,,,3,,,,,
1816,9013401002381,桜１９,,,3,,,,,
1817,9013401002381,西府０１,,,3,,,,,
1818,9013401002381,立６５,,,3,,,,,
1819,9013401002381,高２１,,,3,,,,,
1822,9013401002381,高２２,,,3,,,,,
1823,9013401002381,高２７,,,3,,,,,
1826,9013401002381,日野市ミニバス Ｏ 落川路線,,,3,,,,,
1828,9013401002381,日野市ミニバス Ｈ 平山循環路線,,,3,,,,,
1829,9013401002381,日野市ミニバス Ａ 旭が丘循環路線,,,3,,,,,
1845,9013401002381,桜９９,,,3,,,,,
1846,9013401002381,高３１,,,3,,,,,
1914,9013401002381,み０５,,,3,,,,,
1968,9013401002381,宿５１,,,3,,,,,
1972,9013401002381,渋６６,,,3,,,,,
2011,9013401002381,北２１,,,3,,,,,
2012,9013401002381,北２２,,,3,,,,,
2020,9013401002381,磨０１,,,3,,,,,
2021,9013401002381,武８４,,,3,,,,,
2022,9013401002381,武９４,,,3,,,,,
2023,9013401002381,武８５,,,3,,,,,
2024,9013401002381,武９５,,,3,,,,,
2025,9013401002381,渋６１,,,3,,,,,
2059,9013401002381,武４２,,,3,,,,,
2069,9013401002381,桜９２,,,3,,,,,
2070,9013401002381,桜９１,,,3,,,,,
2075,9013401002381,立６６,,,3,,,,,
2079,9013401002381,桜１８,,,3,,,,,
2113,9013401002381,西国４５,,,3,,,,,
2114,9013401002381,西国４４,,,3,,,,,
2147,9013401002381,日０１,,,3,,,,,
2148,9013401002381,日０３,,,3,,,,,
2150,9013401002381,日０２,,,3,,,,,
2157,9013401002381,武９１,,,3,,,,,
2158,9013401002381,武９３,,,3,,,,,
2205,9013401002381,八９０,,,3,,,,,
2213,9013401002381,準急,,,3,,,,,
2225,9013401002381,永８０,,,3,,,,,
2227,9013401002381,永８１,,,3,,,,,
2311,9013401002381,堀６４,,,3,,,,,
2374,9013401002381,八９７,,,3,,,,,
2407,9013401002381,日野市ミニバス Ｓ 市内路線,,,3,,,,,
2412,9013401002381,CoCoバス 東町循環,,,3,,,,,
2419,9013401002381,堀１１,,,3,,,,,
2421,9013401002381,渋６５,,,3,,,,,
2424,9013401002381,渋５５,,,3,,,,,
2425,9013401002381,０３０,,,3,,,,,
2427,9013401002381,日０５,,,3,,,,,
2429,9013401002381,武５１,,,3,,,,,
2431,9013401002381,境８１,,,3,,,,,
2453,9013401002381,CoCoバス 貫井前原循環,,,3,,,,,
2470,9013401002381,八南０１,,,3,,,,,
2498,9013401002381,桜８７,,,3,,,,,
2543,9013401002381,武０４,,,3,,,,,
2546,9013401002381,武０３,,,3,,,,,
2569,9013401002381,豊５５,,,3,,,,,
2583,9013401002381,調１１,,,3,,,,,
2584,9013401002381,調１２,,,3,,,,,
2586,9013401002381,寺８７,,,3,,,,,
2587,9013401002381,桜６５,,,3,,,,,
2600,9013401002381,桜７２,,,3,,,,,
2601,9013401002381,桜７３,,,3,,,,,
2618,9013401002381,桜８１,,,3,,,,,
2620,9013401002381,高３２,,,3,,,,,
