stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
0001_01,,あいクリニック,,35.634948,139.443930,Z0001_01,,0,,,,,1
0001_02,,あいクリニック,,35.634782,139.443733,Z0001_02,,0,,,,,2
0002_01,,青渭神社前,,35.667667,139.553761,Z0002_01,,0,,,,,1
0002_02,,青渭神社前,,35.667452,139.553816,Z0002_02,,0,,,,,2
0003_01,,青木葉公園,,35.616897,139.427656,Z0003_01,,0,,,,,1
0003_02,,青木葉公園,,35.617789,139.427201,Z0003_02,,0,,,,,2
0004_01,,赤石公園,,35.609619,139.374886,Z0004_01,,0,,,,,1
0004_02,,赤石公園,,35.609301,139.374400,Z0004_02,,0,,,,,2
0005_01,,秋葉神社,,35.618583,139.414460,Z0005_01,,0,,,,,1
0005_02,,秋葉神社,,35.618842,139.414401,Z0005_02,,0,,,,,2
0006_00,,阿佐ヶ谷駅,,35.704491,139.636474,Z0006_00,,0,,,,,
0006_02,,阿佐ヶ谷駅,,35.704609,139.636503,Z0006_02,,0,,,,,
0008_01,,阿佐ヶ谷住宅東,,35.695610,139.633854,Z0008_01,,0,,,,,1
0008_02,,阿佐ヶ谷住宅東,,35.695753,139.634357,Z0008_02,,0,,,,,2
0009_01,,阿佐ヶ谷住宅南,,35.695631,139.632881,Z0009_01,,0,,,,,1
0009_02,,阿佐ヶ谷住宅南,,35.695720,139.633020,Z0009_02,,0,,,,,2
0010_01,,阿佐谷南一丁目,,35.701311,139.636120,Z0010_01,,0,,,,,1
0010_02,,阿佐谷南一丁目,,35.702076,139.636074,Z0010_02,,0,,,,,2
0011_01,,浅川新地,,35.649798,139.297855,Z0011_01,,0,,,,,1
0011_02,,浅川新地,,35.650120,139.298001,Z0011_02,,0,,,,,2
0012_01,,浅川原,,35.645758,139.287786,Z0012_01,,0,,,,,1
0012_02,,浅川原,,35.646098,139.288232,Z0012_02,,0,,,,,2
0013_01,,旭が丘,,35.658486,139.372309,Z0013_01,,0,,,,,1
0013_02,,旭が丘,,35.658970,139.371571,Z0013_02,,0,,,,,2
0013_03,,旭が丘,,35.658943,139.369604,Z0013_03,,0,,,,,3
0014_01,,旭が丘五丁目,,35.658637,139.361825,Z0014_01,,0,,,,,1
0015_01,,旭が丘三丁目,,35.653667,139.370186,Z0015_01,,0,,,,,1
0016_01,,旭が丘小学校,,35.658316,139.359806,Z0016_01,,0,,,,,1
0017_00,,旭が丘中央公園,,35.658579,139.368027,Z0017_00,,0,,,,,0
0018_01,,旭が丘西公園,,35.656539,139.363645,Z0018_01,,0,,,,,1
0019_01,,旭が丘四丁目,,35.656828,139.367950,Z0019_01,,0,,,,,1
0020_01,,旭が丘六丁目,,35.659400,139.365229,Z0020_01,,0,,,,,1
0021_01,,旭が丘六丁目西,,35.659945,139.362185,Z0021_01,,0,,,,,1
0022_01,,旭小学校,,35.599246,139.343732,Z0022_01,,0,,,,,1
0022_02,,旭小学校,,35.599326,139.343288,Z0022_02,,0,,,,,2
0023_01,,朝日新聞社前,,35.659356,139.619644,Z0023_01,,0,,,,,1
0023_02,,朝日新聞社前,,35.659575,139.620987,Z0023_02,,0,,,,,2
0023_03,,朝日新聞社前,,35.658952,139.620448,Z0023_03,,0,,,,,3
0024_01,,朝日町,,35.670279,139.518611,Z0024_01,,0,,,,,1
0024_02,,朝日町,,35.669415,139.518802,Z0024_02,,0,,,,,2
0025_01,,旭通り坂下,,35.694757,139.451623,Z0025_01,,0,,,,,1
0025_02,,旭通り坂下,,35.695157,139.451277,Z0025_02,,0,,,,,2
0026_01,,旭通り中央,,35.696033,139.449913,Z0026_01,,0,,,,,1
0026_02,,旭通り中央,,35.696681,139.449254,Z0026_02,,0,,,,,2
0027_01,,旭農協前,,35.597308,139.346488,Z0027_01,,0,,,,,1
0027_02,,旭農協前,,35.597249,139.346261,Z0027_02,,0,,,,,2
0028_01,,旭橋,,35.671071,139.625750,Z0028_01,,0,,,,,1
0030_01,,味の素スタジアム入口,,35.664809,139.525149,Z0030_01,,0,,,,,1
0031_01,,味の素スタジアム南,,35.662726,139.524279,Z0031_01,,0,,,,,1
0032_01,,愛宕神社,,35.635146,139.432149,Z0032_01,,0,,,,,1
0032_02,,愛宕神社,,35.635346,139.432927,Z0032_02,,0,,,,,2
0033_01,,愛宕団地,,35.634617,139.428101,Z0033_01,,0,,,,,1
0033_02,,愛宕団地,,35.634743,139.427942,Z0033_02,,0,,,,,2
0034_00,,愛宕東,,35.635595,139.436671,Z0034_00,,0,,,,,2
0034_01,,愛宕東,,35.635380,139.436034,Z0034_01,,0,,,,,1
0035_00,,愛宕東公園,,35.633283,139.438906,Z0035_00,,0,,,,,0
0035_01,,愛宕東公園,,35.633061,139.438188,Z0035_01,,0,,,,,1
0036_01,,愛宕四丁目,,35.631521,139.429340,Z0036_01,,0,,,,,1
0036_02,,愛宕四丁目,,35.631665,139.429318,Z0036_02,,0,,,,,2
0037_01,,あったかホール前,,35.655052,139.351002,Z0037_01,,0,,,,,1
0037_02,,あったかホール前,,35.654719,139.351714,Z0037_02,,0,,,,,2
0038_01,,安養寺入口,,35.669821,139.416675,Z0038_01,,0,,,,,1
0038_02,,安養寺入口,,35.670065,139.416866,Z0038_02,,0,,,,,2
0039_01,,天野,,35.635083,139.410406,Z0039_01,,0,,,,,1
0039_02,,天野,,35.635823,139.411310,Z0039_02,,0,,,,,2
0040_01,,こども未来センター,,35.694095,139.418941,Z0040_01,,0,,,,,1
0040_02,,こども未来センター,,35.694141,139.418798,Z0040_02,,0,,,,,2
0041_01,,荒井,,35.639583,139.260739,Z0041_01,,0,,,,,1
0041_02,,荒井,,35.639728,139.261512,Z0041_02,,0,,,,,2
0042_01,,令和小学校,,35.716095,139.668122,Z0042_01,,0,,,,,1
0043_01,,新井中野通り,,35.710740,139.665160,Z0043_01,,0,,,,,1
0043_02,,新井中野通り,,35.710581,139.665324,Z0043_02,,0,,,,,2
0044_00,,新井四丁目,,35.715676,139.665037,Z0044_00,,0,,,,,0
0045_01,,荒玉水道端,,35.669007,139.634228,Z0045_01,,0,,,,,1
0046_03,,いきいきプラザ東,,35.666843,139.468341,Z0046_03,,0,,,,,3
0047_01,,井口新田,,35.695269,139.538399,Z0047_01,,0,,,,,1
0047_02,,井口新田,,35.695196,139.537670,Z0047_02,,0,,,,,2
0048_01,,井口日赤入口,,35.695632,139.545503,Z0048_01,,0,,,,,1
0048_02,,井口日赤入口,,35.695658,139.545662,Z0048_02,,0,,,,,2
0049_03,,池の上通り,,35.692467,139.494070,Z0049_03,,0,,,,,3
0050_01,,石川入口,,35.663212,139.356200,Z0050_01,,0,,,,,1
0050_02,,石川入口,,35.662990,139.356273,Z0050_02,,0,,,,,2
0053_01,,石原橋,,35.649712,139.534531,Z0053_01,,0,,,,,1
0053_02,,石原橋,,35.649545,139.533939,Z0053_02,,0,,,,,2
0054_01,,和泉一丁目,,35.675686,139.659195,Z0054_01,,0,,,,,1
0054_02,,和泉一丁目,,35.676267,139.658598,Z0054_02,,0,,,,,2
0055_10,,和泉狛江消防署,,35.640879,139.575620,Z0055_10,,0,,,,,10
0055_11,,和泉狛江消防署,,35.641490,139.576033,Z0055_11,,0,,,,,11
0056_01,,泉町一丁目,,35.696442,139.472875,Z0056_01,,0,,,,,1
0056_02,,泉町一丁目,,35.696357,139.472791,Z0056_02,,0,,,,,2
0057_01,,泉町三丁目,,35.694986,139.464807,Z0057_01,,0,,,,,1
0057_02,,泉町三丁目,,35.695081,139.464537,Z0057_02,,0,,,,,2
0058_01,,泉町二丁目,,35.696416,139.471317,Z0058_01,,0,,,,,1
0058_02,,泉町二丁目,,35.696209,139.470749,Z0058_02,,0,,,,,2
0059_01,,泉塚,,35.668584,139.384974,Z0059_01,,0,,,,,6
0059_02,,泉塚,,35.668062,139.385298,Z0059_02,,0,,,,,5
0059_03,,泉塚,,35.668302,139.385663,Z0059_03,,0,,,,,3
0059_04,,泉塚,,35.668503,139.385842,Z0059_04,,0,,,,,4
0060_01,,いずみプラザ前,,35.695806,139.467786,Z0060_01,,0,,,,,1
0060_02,,いずみプラザ前,,35.695732,139.468324,Z0060_02,,0,,,,,2
0061_10,,和泉本町三丁目,,35.638669,139.574738,Z0061_10,,0,,,,,10
0061_11,,和泉本町三丁目,,35.639249,139.575133,Z0061_11,,0,,,,,11
0062_01,,板橋,,35.621494,139.390806,Z0062_01,,0,,,,,1
0062_02,,板橋,,35.622897,139.391115,Z0062_02,,0,,,,,2
0063_00,,一の宮,,35.651061,139.437294,Z0063_00,,0,,,,,0
0063_01,,一の宮,,35.650970,139.437734,Z0063_01,,0,,,,,1
0064_01,,一の宮ストア,,35.651007,139.440812,Z0064_01,,0,,,,,1
0064_02,,一の宮ストア,,35.651444,139.439812,Z0064_02,,0,,,,,2
0065_01,,市場前,,35.651326,139.356911,Z0065_01,,0,,,,,1
0065_02,,市場前,,35.651743,139.355977,Z0065_02,,0,,,,,2
0066_01,,一番橋,,35.660782,139.391848,Z0066_01,,0,,,,,1
0066_02,,一番橋,,35.660690,139.392273,Z0066_02,,0,,,,,2
0067_01,,一番橋通り,,35.657298,139.396215,Z0067_01,,0,,,,,1
0067_02,,一番橋通り,,35.657182,139.396706,Z0067_02,,0,,,,,2
0068_01,,一番橋西,,35.660556,139.391216,Z0068_01,,0,,,,,1
0068_02,,一番橋西,,35.660723,139.390951,Z0068_02,,0,,,,,2
0069_02,,一里塚(杉並区),,35.668600,139.634256,Z0069_02,,0,,,,,2
0070_01,,一里塚(国分寺市),,35.696011,139.480856,Z0070_01,,0,,,,,1
0070_02,,一里塚(国分寺市),,35.694832,139.480792,Z0070_02,,0,,,,,2
0071_01,,一本木,,35.680959,139.493014,Z0071_01,,0,,,,,1
0071_02,,一本木,,35.680259,139.492461,Z0071_02,,0,,,,,2
0072_01,,一本杉公園,,35.610205,139.429182,Z0072_01,,0,,,,,1
0072_02,,一本杉公園,,35.610038,139.429046,Z0072_02,,0,,,,,2
0073_00,,稲城駅,,35.635717,139.500651,Z0073_00,,0,,,,,0
0073_01,,稲城駅,,35.635785,139.500739,Z0073_01,,0,,,,,3
0074_01,,稲城大橋北,,35.658633,139.511952,Z0074_01,,0,,,,,1
0074_02,,稲城大橋北,,35.658663,139.512161,Z0074_02,,0,,,,,2
0075_01,,稲城市保健センター,,35.638675,139.497438,Z0075_01,,0,,,,,1
0075_02,,稲城市保健センター,,35.638789,139.497607,Z0075_02,,0,,,,,2
0076_00,,稲城市立病院,,35.647516,139.486146,Z0076_00,,0,,,,,0
0077_01,,稲城第一小学校,,35.642149,139.510898,Z0077_01,,0,,,,,1
0077_02,,稲城第一小学校,,35.642364,139.511007,Z0077_02,,0,,,,,2
0078_01,,稲城台病院入口,,35.624256,139.466290,Z0078_01,,0,,,,,1
0078_02,,稲城台病院入口,,35.624361,139.466499,Z0078_02,,0,,,,,2
0079_01,,稲城台病院北,,35.625380,139.463759,Z0079_01,,0,,,,,1
0079_02,,稲城台病院北,,35.625451,139.463669,Z0079_02,,0,,,,,2
0081_01,,稲城団地,,35.646040,139.495877,Z0081_01,,0,,,,,1
0081_02,,稲城団地,,35.645810,139.496877,Z0081_02,,0,,,,,2
0082_01,,稲城中央公園,,35.634939,139.486875,Z0082_01,,0,,,,,1
0082_02,,稲城中央公園,,35.635311,139.486428,Z0082_02,,0,,,,,2
0083_01,,稲城中央橋,,35.637037,139.499007,Z0083_01,,0,,,,,1
0083_02,,稲城中央橋,,35.637334,139.499021,Z0083_02,,0,,,,,2
0084_01,,稲城長沼駅,,35.643573,139.501305,Z0084_01,,0,,,,,1
0084_02,,稲城長沼駅,,35.644054,139.500809,Z0084_02,,0,,,,,2
0085_01,,稲穂神社前,,35.705520,139.503068,Z0085_01,,0,,,,,1
0086_01,,稲荷神社,,35.666067,139.444198,Z0086_01,,0,,,,,1
0086_02,,稲荷神社,,35.665875,139.444312,Z0086_02,,0,,,,,2
0086_03,,稲荷神社,,35.665393,139.444444,Z0086_03,,0,,,,,3
0086_04,,稲荷神社,,35.665366,139.444469,Z0086_04,,0,,,,,4
0086_05,,稲荷神社,,35.665437,139.444264,Z0086_05,,0,,,,,5
0086_06,,稲荷神社,,35.665409,139.444307,Z0086_06,,0,,,,,6
0087_01,,いなり橋児童公園,,35.647647,139.533914,Z0087_01,,0,,,,,1
0087_02,,いなり橋児童公園,,35.647807,139.533839,Z0087_02,,0,,,,,2
0089_00,,医療センター,,35.631056,139.290033,Z0089_00,,0,,,,,0
0090_01,,上ノ原公園下,,35.660301,139.561850,Z0090_01,,0,,,,,1
0090_02,,上ノ原公園下,,35.660316,139.561918,Z0090_02,,0,,,,,2
0091_00,,上ノ原小学校,,35.665100,139.565171,Z0091_00,,0,,,,,2
0091_01,,上ノ原小学校,,35.665046,139.565393,Z0091_01,,0,,,,,1
0091_04,,上ノ原小学校,,35.664944,139.565607,Z0091_04,,0,,,,,4
0092_01,,上野町三丁目,,35.654465,139.327694,Z0092_01,,0,,,,,1
0092_02,,上野町三丁目,,35.653959,139.327318,Z0092_02,,0,,,,,2
0093_01,,上原一丁目,,35.667764,139.686295,Z0093_01,,0,,,,,1
0093_02,,上原一丁目,,35.668027,139.685663,Z0093_02,,0,,,,,2
0095_01,,上原二丁目,,35.667897,139.683550,Z0095_01,,0,,,,,1
0095_02,,上原二丁目,,35.668167,139.682696,Z0095_02,,0,,,,,2
0096_01,,上原二丁目南,,35.664046,139.679962,Z0096_01,,0,,,,,1
0096_02,,上原二丁目南,,35.664018,139.679190,Z0096_02,,0,,,,,2
0097_02,,宇田川町,,35.662692,139.696456,Z0097_02,,0,,,,,2
0098_01,,打越弁財天入口,,35.641194,139.355134,Z0098_01,,0,,,,,1
0098_02,,打越弁財天入口,,35.642057,139.354952,Z0098_02,,0,,,,,2
0099_00,,宇津貫緑地入口,,35.619336,139.327797,Z0099_00,,0,,,,,1
0099_02,,宇津貫緑地入口,,35.618675,139.327163,Z0099_02,,0,,,,,2
0100_01,,梅里中央公園入口,,35.698042,139.640106,Z0100_01,,0,,,,,1
0100_02,,梅里中央公園入口,,35.697782,139.640287,Z0100_02,,0,,,,,2
0101_01,,裏高尾,,35.639786,139.246698,Z0101_01,,0,,,,,1
0101_02,,裏高尾,,35.639828,139.246847,Z0101_02,,0,,,,,2
0102_01,,瓜生,,35.616445,139.442752,Z0102_01,,0,,,,,1
0102_02,,瓜生,,35.616408,139.442424,Z0102_02,,0,,,,,2
0103_01,,瓜生小学校,,35.620607,139.446583,Z0103_01,,0,,,,,1
0103_02,,瓜生小学校,,35.620518,139.446515,Z0103_02,,0,,,,,2
0104_01,,瓜生通り,,35.614847,139.445161,Z0104_01,,0,,,,,1
0104_02,,瓜生通り,,35.614931,139.445270,Z0104_02,,0,,,,,2
0105_01,,瓜生緑地,,35.619662,139.442674,Z0105_01,,0,,,,,1
0105_02,,瓜生緑地,,35.619880,139.442983,Z0105_02,,0,,,,,2
0107_01,,永泉寺入口,,35.615508,139.360009,Z0107_01,,0,,,,,1
0107_02,,永泉寺入口,,35.615724,139.361168,Z0107_02,,0,,,,,2
0108_01,,永福町駅,,35.676498,139.643429,Z0108_01,,0,,,,,
0108_02,,永福町駅,,35.676497,139.643405,Z0108_02,,0,,,,,
0110_00,,永福町,,35.677510,139.641089,Z0110_00,,0,,,,,
0110_01,,永福町,,35.676891,139.642107,Z0110_01,,0,,,,,
0111_01,,穎明館高校前,,35.623779,139.289721,Z0111_01,,0,,,,,1
0111_02,,穎明館高校前,,35.623907,139.289606,Z0111_02,,0,,,,,2
0113_01,,駅開設記念館前,,35.700417,139.529348,Z0113_01,,0,,,,,1
0114_01,,江古田一丁目,,35.723736,139.671773,Z0114_01,,0,,,,,1
0115_01,,江古田二丁目,,35.723843,139.666517,Z0115_01,,0,,,,,1
0116_01,,江古田四丁目,,35.724210,139.662681,Z0116_01,,0,,,,,1
0116_02,,江古田四丁目,,35.724432,139.662736,Z0116_02,,0,,,,,2
0117_01,,ＮＥＣ裏門,,35.668733,139.450748,Z0117_01,,0,,,,,1
0118_01,,ＮＥＣ正門,,35.667910,139.458444,Z0118_01,,0,,,,,1
0120_01,,エプソン前,,35.671817,139.403216,Z0120_01,,0,,,,,1
0120_02,,エプソン前,,35.672091,139.402975,Z0120_02,,0,,,,,2
0121_01,,ＭＣＣ三鷹ビル,,35.685723,139.563714,Z0121_01,,0,,,,,1
0121_02,,ＭＣＣ三鷹ビル,,35.685797,139.563859,Z0121_02,,0,,,,,2
0122_01,,追分,,35.660778,139.319794,Z0122_01,,0,,,,,1
0122_02,,追分,,35.660971,139.319464,Z0122_02,,0,,,,,2
0123_02,,青梅街道入口,,35.698142,139.636608,Z0123_02,,0,,,,,2
0124_01,,扇橋,,35.599014,139.420789,Z0124_01,,0,,,,,1
0124_02,,扇橋,,35.598985,139.420652,Z0124_02,,0,,,,,2
0125_01,,大栗橋,,35.646247,139.451698,Z0125_01,,0,,,,,1
0125_02,,大栗橋,,35.646817,139.451921,Z0125_02,,0,,,,,2
0126_01,,大坂上通り,,35.676526,139.390877,Z0126_01,,0,,,,,1
0126_02,,大坂上通り,,35.676499,139.390738,Z0126_02,,0,,,,,2
0127_01,,大沢コミュニティセンター,,35.668802,139.536898,Z0127_01,,0,,,,,1
0127_02,,大沢コミュニティセンター,,35.668924,139.536834,Z0127_02,,0,,,,,2
0128_01,,大沢十字路,,35.679837,139.538741,Z0128_01,,0,,,,,1
0128_02,,大沢十字路,,35.681081,139.538224,Z0128_02,,0,,,,,2
0128_03,,大沢十字路,,35.681354,139.537770,Z0128_03,,0,,,,,3
0129_01,,大沢橋羽沢小学校,,35.671946,139.538706,Z0129_01,,0,,,,,1
0129_02,,大沢橋羽沢小学校,,35.671879,139.538556,Z0129_02,,0,,,,,2
0130_01,,大下橋,,35.718981,139.670129,Z0130_01,,0,,,,,1
0131_01,,大下,,35.639592,139.237611,Z0131_01,,0,,,,,1
0131_02,,大下,,35.639658,139.237663,Z0131_02,,0,,,,,2
0132_01,,大竹橋,,35.628116,139.391058,Z0132_01,,0,,,,,1
0132_02,,大竹橋,,35.627904,139.392920,Z0132_02,,0,,,,,2
0132_03,,大竹橋,,35.627463,139.391498,Z0132_03,,0,,,,,3
0133_01,,大田橋,,35.616735,139.384151,Z0133_01,,0,,,,,1
0133_02,,大田橋,,35.617494,139.385019,Z0133_02,,0,,,,,2
0134_01,,大塚公園,,35.632797,139.417693,Z0134_01,,0,,,,,1
0135_01,,大塚橋,,35.634082,139.420461,Z0135_01,,0,,,,,1
0135_02,,大塚橋,,35.634300,139.420661,Z0135_02,,0,,,,,2
0136_01,,大妻学院,,35.613393,139.409170,Z0136_01,,0,,,,,1
0136_02,,大妻学院,,35.613857,139.409244,Z0136_02,,0,,,,,2
0137_01,,大橋,,35.632374,139.440819,Z0137_01,,0,,,,,1
0137_02,,大橋,,35.632321,139.441660,Z0137_02,,0,,,,,2
0137_03,,大橋,,35.632491,139.442805,Z0137_03,,0,,,,,3
0137_04,,大橋,,35.632076,139.442397,Z0137_04,,0,,,,,4
0138_00,,大原一丁目,,35.668949,139.663010,Z0138_00,,0,,,,,0
0138_02,,大原一丁目,,35.669179,139.661993,Z0138_02,,0,,,,,2
0139_01,,大平公園,,35.607994,139.382061,Z0139_01,,0,,,,,1
0139_02,,大平公園,,35.607560,139.382143,Z0139_02,,0,,,,,2
0140_01,,大船,,35.625098,139.315475,Z0140_01,,0,,,,,1
0140_02,,大船,,35.624698,139.315675,Z0140_02,,0,,,,,2
0141_01,,大巻観音・館事務所,,35.634391,139.307755,Z0141_01,,0,,,,,1
0141_02,,大巻観音・館事務所,,35.634196,139.306264,Z0141_02,,0,,,,,2
0143_01,,大道南,,35.680283,139.628425,Z0143_01,,0,,,,,1
0144_01,,大宮台,,35.679475,139.645797,Z0144_01,,0,,,,,1
0145_01,,大宮町,,35.681485,139.641434,Z0145_01,,0,,,,,1
0145_02,,大宮町,,35.681448,139.642100,Z0145_02,,0,,,,,2
0146_01,,大宮八幡入口,,35.682804,139.648960,Z0146_01,,0,,,,,1
0146_02,,大宮八幡入口,,35.682559,139.646887,Z0146_02,,0,,,,,2
0147_01,,大宮八幡前,,35.682984,139.642645,Z0147_01,,0,,,,,1
0147_02,,大宮八幡前,,35.682425,139.643227,Z0147_02,,0,,,,,2
0148_01,,大山町,,35.668276,139.675622,Z0148_01,,0,,,,,1
0148_02,,大山町,,35.668538,139.674695,Z0148_02,,0,,,,,2
0149_01,,大和田,,35.662306,139.349730,Z0149_01,,0,,,,,1
0149_02,,大和田,,35.662136,139.349939,Z0149_02,,0,,,,,2
0150_01,,大和田坂上,,35.665680,139.363033,Z0150_01,,0,,,,,1
0150_02,,大和田坂上,,35.665269,139.362528,Z0150_02,,0,,,,,2
0151_01,,大和田坂下,,35.662635,139.353851,Z0151_01,,0,,,,,1
0151_02,,大和田坂下,,35.662469,139.354024,Z0151_02,,0,,,,,2
0152_01,,大和田二丁目,,35.664398,139.359680,Z0152_01,,0,,,,,1
0152_02,,大和田二丁目,,35.663968,139.359034,Z0152_02,,0,,,,,2
0154_01,,奥山橋,,35.644438,139.386701,Z0154_01,,0,,,,,1
0155_01,,押立神社,,35.654398,139.517341,Z0155_01,,0,,,,,1
0155_02,,押立神社,,35.655186,139.517684,Z0155_02,,0,,,,,2
0155_03,,押立神社,,35.654413,139.517346,Z0155_03,,0,,,,,3
0155_04,,押立神社,,35.655190,139.517682,Z0155_04,,0,,,,,4
0156_01,,押立町一丁目,,35.658449,139.507051,Z0156_01,,0,,,,,1
0156_02,,押立町一丁目,,35.658356,139.506960,Z0156_02,,0,,,,,2
0157_02,,押立町五丁目,,35.653023,139.516633,Z0157_02,,0,,,,,2
0157_03,,押立町五丁目,,35.653027,139.516041,Z0157_03,,0,,,,,3
0157_04,,押立町五丁目,,35.653010,139.516627,Z0157_04,,0,,,,,4
0158_01,,押立町三丁目,,35.657062,139.510750,Z0158_01,,0,,,,,1
0158_02,,押立町三丁目,,35.657102,139.510532,Z0158_02,,0,,,,,2
0159_01,,押立町二丁目,,35.658779,139.515657,Z0159_01,,0,,,,,1
0159_02,,押立町二丁目,,35.658709,139.515721,Z0159_02,,0,,,,,2
0160_01,,押立町西公園,,35.658032,139.509144,Z0160_01,,0,,,,,1
0160_02,,押立町西公園,,35.658020,139.508831,Z0160_02,,0,,,,,2
0161_10,,御台橋,,35.644400,139.577052,Z0161_10,,0,,,,,10
0161_11,,御台橋,,35.643068,139.576679,Z0161_11,,0,,,,,11
0162_03,,落合,,35.636756,139.270797,Z0162_03,,0,,,,,3
0163_01,,落合一丁目,,35.623569,139.427002,Z0163_01,,0,,,,,1
0163_02,,落合一丁目,,35.623591,139.426684,Z0163_02,,0,,,,,2
0164_01,,落合三丁目,,35.618467,139.433063,Z0164_01,,0,,,,,1
0164_02,,落合三丁目,,35.619156,139.432899,Z0164_02,,0,,,,,2
0165_01,,落合商店街,,35.616013,139.430270,Z0165_01,,0,,,,,1
0165_02,,落合商店街,,35.616120,139.430268,Z0165_02,,0,,,,,2
0166_01,,落合中学校前,,35.613608,139.428148,Z0166_01,,0,,,,,1
0166_02,,落合中学校前,,35.614056,139.428053,Z0166_02,,0,,,,,2
0167_01,,落合東,,35.625471,139.430813,Z0167_01,,0,,,,,1
0167_02,,落合東,,35.625682,139.429908,Z0167_02,,0,,,,,2
0168_01,,落合四丁目,,35.614942,139.432349,Z0168_01,,0,,,,,1
0168_02,,落合四丁目,,35.615057,139.432149,Z0168_02,,0,,,,,2
