service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01-100,0,0,0,0,0,0,1,20251126,20281125
01-160,0,0,0,0,0,1,0,20251126,20281125
01-170,1,1,1,1,1,0,0,20251126,20281125
06-100,0,0,0,0,0,0,1,20251126,20281125
06-160,0,0,0,0,0,1,0,20251126,20281125
06-170,1,1,1,1,1,0,0,20251126,20281125
09-100,0,0,0,0,0,0,1,20251126,20281125
09-160,0,0,0,0,0,1,0,20251126,20281125
09-170,1,1,1,1,1,0,0,20251126,20281125
13-100,0,0,0,0,0,0,1,20251126,20281125
13-160,0,0,0,0,0,1,0,20251126,20281125
13-170,1,1,1,1,1,0,0,20251126,20281125
21-100,0,0,0,0,0,0,1,20251126,20281125
21-160,0,0,0,0,0,1,0,20251126,20281125
21-170,1,1,1,1,1,0,0,20251126,20281125
25-100,0,0,0,0,0,0,1,20251126,20281125
25-160,0,0,0,0,0,1,0,20251126,20281125
25-170,1,1,1,1,1,0,0,20251126,20281125
29-100,0,0,0,0,0,0,1,20251126,20281125
29-160,0,0,0,0,0,1,0,20251126,20281125
29-170,1,1,1,1,1,0,0,20251126,20281125
33-100,0,0,0,0,0,0,1,20251126,20281125
33-160,0,0,0,0,0,1,0,20251126,20281125
33-170,1,1,1,1,1,0,0,20251126,20281125
37-100,0,0,0,0,0,0,1,20251126,20281125
37-160,0,0,0,0,0,1,0,20251126,20281125
37-170,1,1,1,1,1,0,0,20251126,20281125
41-100,0,0,0,0,0,0,1,20251126,20281125
41-160,0,0,0,0,0,1,0,20251126,20281125
41-170,1,1,1,1,1,0,0,20251126,20281125
45-100,0,0,0,0,0,0,1,20251126,20281125
45-160,0,0,0,0,0,1,0,20251126,20281125
45-170,1,1,1,1,1,0,0,20251126,20281125
49-100,0,0,0,0,0,0,1,20251126,20281125
49-160,0,0,0,0,0,1,0,20251126,20281125
49-170,1,1,1,1,1,0,0,20251126,20281125
53-100,0,0,0,0,0,0,1,20251126,20281125
53-160,0,0,0,0,0,1,0,20251126,20281125
53-170,1,1,1,1,1,0,0,20251126,20281125
57-100,0,0,0,0,0,0,1,20251126,20281125
57-160,0,0,0,0,0,1,0,20251126,20281125
57-170,1,1,1,1,1,0,0,20251126,20281125
61-100,0,0,0,0,0,0,1,20251126,20281125
61-160,0,0,0,0,0,1,0,20251126,20281125
61-170,1,1,1,1,1,0,0,20251126,20281125
65-100,0,0,0,0,0,0,1,20251126,20281125
65-160,0,0,0,0,0,1,0,20251126,20281125
65-170,1,1,1,1,1,0,0,20251126,20281125
69-100,0,0,0,0,0,0,1,20251126,20281125
69-160,0,0,0,0,0,1,0,20251126,20281125
69-170,1,1,1,1,1,0,0,20251126,20281125
77-100,0,0,0,0,0,0,1,20251126,20281125
77-160,0,0,0,0,0,1,0,20251126,20281125
77-170,1,1,1,1,1,0,0,20251126,20281125
81-100,0,0,0,0,0,0,1,20251126,20281125
81-160,0,0,0,0,0,1,0,20251126,20281125
81-170,1,1,1,1,1,0,0,20251126,20281125
85-100,0,0,0,0,0,0,1,20251126,20281125
85-160,0,0,0,0,0,1,0,20251126,20281125
85-170,1,1,1,1,1,0,0,20251126,20281125
