service_id,date,exception_type
09-172,20251128,1
09-170,20251128,2
01-179,20251203,1
01-170,20251203,2
81-179,20251203,1
81-170,20251203,2
01-179,20251210,1
01-170,20251210,2
81-179,20251210,1
81-170,20251210,2
09-173,20251212,1
09-170,20251212,2
09-173,20251215,1
09-170,20251215,2
09-173,20251216,1
09-170,20251216,2
01-179,20251217,1
01-170,20251217,2
09-173,20251217,1
09-170,20251217,2
81-179,20251217,1
81-170,20251217,2
09-173,20251218,1
09-170,20251218,2
09-173,20251219,1
09-170,20251219,2
09-173,20251222,1
09-170,20251222,2
09-174,20251223,1
09-170,20251223,2
81-100,20251223,1
81-170,20251223,2
01-179,20251224,1
01-170,20251224,2
09-174,20251224,1
09-170,20251224,2
37-171,20251224,1
37-170,20251224,2
81-179,20251224,1
81-170,20251224,2
09-174,20251225,1
09-170,20251225,2
37-171,20251225,1
37-170,20251225,2
09-174,20251226,1
09-170,20251226,2
29-171,20251226,1
29-170,20251226,2
37-171,20251226,1
37-170,20251226,2
01-360,20251227,1
01-160,20251227,2
06-360,20251227,1
06-160,20251227,2
09-161,20251227,1
09-160,20251227,2
21-360,20251227,1
21-160,20251227,2
37-161,20251227,1
37-160,20251227,2
01-300,20251228,1
01-100,20251228,2
81-109,20251228,1
81-100,20251228,2
01-370,20251229,1
01-170,20251229,2
06-300,20251229,1
06-170,20251229,2
09-100,20251229,1
09-170,20251229,2
21-100,20251229,1
21-170,20251229,2
29-100,20251229,1
29-170,20251229,2
33-100,20251229,1
33-170,20251229,2
37-301,20251229,1
37-170,20251229,2
45-100,20251229,1
45-170,20251229,2
49-300,20251229,1
49-170,20251229,2
53-100,20251229,1
53-170,20251229,2
57-100,20251229,1
57-170,20251229,2
61-100,20251229,1
61-170,20251229,2
65-300,20251229,1
65-170,20251229,2
77-300,20251229,1
77-170,20251229,2
81-301,20251229,1
81-170,20251229,2
01-371,20251230,1
01-170,20251230,2
06-301,20251230,1
06-170,20251230,2
09-100,20251230,1
09-170,20251230,2
21-100,20251230,1
21-170,20251230,2
25-100,20251230,1
25-170,20251230,2
29-100,20251230,1
29-170,20251230,2
33-100,20251230,1
33-170,20251230,2
37-100,20251230,1
37-170,20251230,2
45-100,20251230,1
45-170,20251230,2
49-300,20251230,1
49-170,20251230,2
53-100,20251230,1
53-170,20251230,2
57-100,20251230,1
57-170,20251230,2
61-100,20251230,1
61-170,20251230,2
65-300,20251230,1
65-170,20251230,2
77-300,20251230,1
77-170,20251230,2
81-301,20251230,1
81-170,20251230,2
01-372,20251231,1
01-170,20251231,2
06-301,20251231,1
06-170,20251231,2
09-100,20251231,1
09-170,20251231,2
21-100,20251231,1
21-170,20251231,2
25-100,20251231,1
25-170,20251231,2
29-100,20251231,1
29-170,20251231,2
33-100,20251231,1
33-170,20251231,2
37-100,20251231,1
37-170,20251231,2
45-100,20251231,1
45-170,20251231,2
49-100,20251231,1
49-170,20251231,2
53-100,20251231,1
53-170,20251231,2
57-100,20251231,1
57-170,20251231,2
61-100,20251231,1
61-170,20251231,2
65-100,20251231,1
65-170,20251231,2
77-100,20251231,1
77-170,20251231,2
81-300,20251231,1
81-170,20251231,2
01-391,20260101,1
01-170,20260101,2
06-100,20260101,1
06-170,20260101,2
09-100,20260101,1
09-170,20260101,2
21-100,20260101,1
21-170,20260101,2
25-100,20260101,1
25-170,20260101,2
29-100,20260101,1
29-170,20260101,2
33-100,20260101,1
33-170,20260101,2
37-300,20260101,1
37-170,20260101,2
45-100,20260101,1
45-170,20260101,2
49-100,20260101,1
49-170,20260101,2
53-100,20260101,1
53-170,20260101,2
57-100,20260101,1
57-170,20260101,2
61-100,20260101,1
61-170,20260101,2
65-391,20260101,1
65-170,20260101,2
77-100,20260101,1
77-170,20260101,2
81-100,20260101,1
81-170,20260101,2
01-391,20260102,1
01-170,20260102,2
06-301,20260102,1
06-170,20260102,2
09-100,20260102,1
09-170,20260102,2
21-100,20260102,1
21-170,20260102,2
25-100,20260102,1
25-170,20260102,2
29-100,20260102,1
29-170,20260102,2
33-100,20260102,1
33-170,20260102,2
37-300,20260102,1
37-170,20260102,2
45-100,20260102,1
45-170,20260102,2
49-100,20260102,1
49-170,20260102,2
53-100,20260102,1
53-170,20260102,2
57-100,20260102,1
57-170,20260102,2
61-100,20260102,1
61-170,20260102,2
65-391,20260102,1
65-170,20260102,2
77-100,20260102,1
77-170,20260102,2
81-300,20260102,1
81-170,20260102,2
01-100,20260103,1
01-160,20260103,2
06-100,20260103,1
06-160,20260103,2
09-100,20260103,1
09-160,20260103,2
21-100,20260103,1
21-160,20260103,2
25-100,20260103,1
25-160,20260103,2
29-100,20260103,1
29-160,20260103,2
33-100,20260103,1
33-160,20260103,2
37-300,20260103,1
37-160,20260103,2
45-100,20260103,1
45-160,20260103,2
49-100,20260103,1
49-160,20260103,2
53-100,20260103,1
53-160,20260103,2
57-100,20260103,1
57-160,20260103,2
61-100,20260103,1
61-160,20260103,2
65-391,20260103,1
65-160,20260103,2
77-100,20260103,1
77-160,20260103,2
09-174,20260105,1
09-170,20260105,2
29-171,20260105,1
29-170,20260105,2
37-171,20260105,1
37-170,20260105,2
09-174,20260106,1
09-170,20260106,2
29-171,20260106,1
29-170,20260106,2
37-171,20260106,1
37-170,20260106,2
01-179,20260107,1
01-170,20260107,2
09-174,20260107,1
09-170,20260107,2
01-104,20260112,1
01-170,20260112,2
06-100,20260112,1
06-170,20260112,2
09-100,20260112,1
09-170,20260112,2
21-100,20260112,1
21-170,20260112,2
25-100,20260112,1
25-170,20260112,2
29-100,20260112,1
29-170,20260112,2
33-100,20260112,1
33-170,20260112,2
37-100,20260112,1
37-170,20260112,2
45-100,20260112,1
45-170,20260112,2
49-100,20260112,1
49-170,20260112,2
53-100,20260112,1
53-170,20260112,2
57-100,20260112,1
57-170,20260112,2
61-100,20260112,1
61-170,20260112,2
65-100,20260112,1
65-170,20260112,2
77-100,20260112,1
77-170,20260112,2
81-100,20260112,1
81-170,20260112,2
01-179,20260114,1
01-170,20260114,2
01-179,20260121,1
01-170,20260121,2
