service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01_1,1,1,1,1,1,0,0,20251101,20261031
01_2,0,0,0,0,0,1,0,20251101,20261031
01_3,0,0,0,0,0,0,1,20251101,20261031
02_1,1,1,1,1,1,0,0,20251101,20261031
02_2,0,0,0,0,0,1,0,20250315,20261031
02_3,0,0,0,0,0,0,1,20250315,20261031
03_1,1,1,1,1,1,0,0,20251101,20261031
03_2,0,0,0,0,0,1,0,20251101,20261031
03_3,0,0,0,0,0,0,1,20251101,20261031
08_1,1,1,1,1,1,0,0,20251101,20261031
08_2,0,0,0,0,0,1,0,20251101,20261031
08_3,0,0,0,0,0,0,1,20251101,20261031
09_1,1,1,1,1,1,0,0,20250616,20261031
09_2,0,0,0,0,0,1,0,20250616,20261031
09_3,0,0,0,0,0,0,1,20250616,20261031
10_1,1,1,1,1,1,0,0,20251101,20261031
10_2,0,0,0,0,0,1,0,20251101,20261031
10_3,0,0,0,0,0,0,1,20251101,20261031
12_1,1,1,1,1,1,0,0,20251101,20261031
12_2,0,0,0,0,0,1,0,20251101,20261031
12_3,0,0,0,0,0,0,1,20251101,20261031
13_1,1,1,1,1,1,0,0,20241001,20261031
13_2,0,0,0,0,0,1,0,20250315,20261031
13_3,0,0,0,0,0,0,1,20250315,20261031
21_1,1,1,1,1,1,0,0,20251101,20261031
21_2,0,0,0,0,0,1,0,20250501,20261031
21_3,0,0,0,0,0,0,1,20250501,20261031
22_1,1,1,1,1,1,0,0,20251101,20261031
22_2,0,0,0,0,0,1,0,20251101,20261031
22_3,0,0,0,0,0,0,1,20251101,20261031
