service_id,date,exception_type
01_1,20251103,2
01_3,20251103,1
02_1,20251103,2
02_3,20251103,1
03_1,20251103,2
03_3,20251103,1
08_1,20251103,2
08_3,20251103,1
09_1,20251103,2
09_3,20251103,1
10_1,20251103,2
10_3,20251103,1
12_1,20251103,2
12_3,20251103,1
13_1,20251103,2
13_3,20251103,1
21_1,20251103,2
21_3,20251103,1
22_1,20251103,2
22_3,20251103,1
01_1,20251124,2
01_3,20251124,1
02_1,20251124,2
02_3,20251124,1
03_1,20251124,2
03_3,20251124,1
08_1,20251124,2
08_3,20251124,1
09_1,20251124,2
09_3,20251124,1
10_1,20251124,2
10_3,20251124,1
12_1,20251124,2
12_3,20251124,1
13_1,20251124,2
13_3,20251124,1
21_1,20251124,2
21_3,20251124,1
22_1,20251124,2
22_3,20251124,1
01_1,20251229,2
01_3,20251229,1
02_1,20251229,2
02_3,20251229,1
03_1,20251229,2
03_3,20251229,1
08_1,20251229,2
08_3,20251229,1
09_1,20251229,2
09_3,20251229,1
10_1,20251229,2
10_3,20251229,1
12_1,20251229,2
12_3,20251229,1
13_1,20251229,2
13_3,20251229,1
21_1,20251229,2
21_3,20251229,1
22_1,20251229,2
22_3,20251229,1
01_1,20251230,2
01_3,20251230,1
02_1,20251230,2
02_3,20251230,1
03_1,20251230,2
03_3,20251230,1
08_1,20251230,2
08_3,20251230,1
09_1,20251230,2
09_3,20251230,1
10_1,20251230,2
10_3,20251230,1
12_1,20251230,2
12_3,20251230,1
13_1,20251230,2
13_3,20251230,1
21_1,20251230,2
21_3,20251230,1
22_1,20251230,2
22_3,20251230,1
01_1,20251231,2
01_3,20251231,1
02_1,20251231,2
02_3,20251231,1
03_1,20251231,2
03_3,20251231,1
08_1,20251231,2
08_3,20251231,1
09_1,20251231,2
09_3,20251231,1
10_1,20251231,2
10_3,20251231,1
12_1,20251231,2
12_3,20251231,1
13_1,20251231,2
13_3,20251231,1
21_1,20251231,2
21_6,20251231,1
22_1,20251231,2
22_3,20251231,1
