jp_pattern_id,route_update_date,origin_stop,via_stop,destination_stop
00109,20250722,緑車庫前,中山町,中山駅前
00110,20250722,中山駅前,中山町,緑車庫前
00202,20250722,港南車庫前,吉原,上大岡駅前
00203,20250722,上大岡駅前,吉原,港南車庫前
00602,20250722,新横浜駅前,大倉山駅前,梶山
00606,20250722,梶山,大倉山駅前,新横浜駅前
00700,20250722,横浜駅前,東寺尾５丁目,川崎駅西口
00701,20250722,川崎駅西口,東寺尾５丁目,横浜駅前
00702,20250722,三ツ池道,国道尻手,川崎駅西口
00704,20250722,横浜駅前,東部病院,川崎駅西口
00705,20250722,川崎駅西口,東部病院,横浜駅前
00706,20250722,子安小学校入口,,川崎駅西口
00707,20250722,川崎駅西口,東寺尾５丁目,子安小学校入口
00800,20250722,本牧車庫前,本牧市民公園前,横浜駅前
00801,20250722,横浜駅前,本牧市民公園前,本牧車庫前
00802,20250722,本牧車庫前,桜木町駅前,横浜駅前
00803,20250722,横浜駅前,桜木町駅前,本牧車庫前
00804,20250722,本牧,三溪園入口,横浜駅前
00809,20250722,桜木町駅前,本牧大里町,本牧車庫前
00904,20250722,滝頭,弘明寺,横浜駅前
00905,20250722,横浜駅前,弘明寺,滝頭
00906,20250722,滝頭,弘明寺,藤棚
00907,20250722,藤棚,弘明寺,滝頭
00909,20250722,通町１丁目,弘明寺,磯子車庫前
00911,20250722,通町１丁目,弘明寺,滝頭
00912,20250722,磯子車庫前,弘明寺,保土ケ谷駅東口
00914,20250722,磯子駅前,弘明寺,保土ケ谷駅東口
00915,20250722,保土ケ谷駅東口,弘明寺,磯子駅前
00916,20250722,滝頭,弘明寺,保土ケ谷駅東口
00917,20250722,保土ケ谷駅東口,弘明寺,滝頭
00922,20250722,滝頭,岡村町,弘明寺
00923,20250722,弘明寺,岡村町,滝頭
00924,20250722,磯子駅前,八幡橋（磯子区）,滝頭
01008,20250722,磯子駅前,中原,峰の郷
01009,20250722,峰の郷,中原,磯子駅前
01213,20250722,白山高校,白山坂上,中山駅前
01214,20250722,緑車庫前,鴨居駅前,西菅田団地
01215,20250722,西菅田団地,鴨居駅前,緑車庫前
01216,20250722,鴨居駅前,鴨居橋,白山高校
01217,20250722,白山高校,鴨居橋,鴨居駅前
01220,20250722,緑車庫前,白山坂上,白山高校
01221,20250722,白山高校,白山坂上,緑車庫前
01228,20250722,白山高校,鴨居駅前,西菅田団地
01229,20250722,西菅田団地,鴨居駅前,白山高校
01231,20250722,鴨居駅前,,中山駅前
01233,20250722,西菅田団地,菅田町,鴨居駅前
01236,20250722,中山駅前,緑車庫前,西菅田団地
01238,20250722,中山駅前,白山坂上,白山高校
01241,20250722,西菅田団地,鴨居駅前,中山駅前
01242,20250722,中山駅前,緑車庫前,鴨居駅前
01302,20250722,鶴見駅前,末吉橋,一の瀬
01303,20250722,一の瀬,末吉橋,鶴見駅前
01308,20250722,鶴見駅前,一の瀬,新横浜駅前
01309,20250722,新横浜駅前,一の瀬,鶴見駅前
01313,20250722,一の瀬,末吉橋,鶴見郵便局前
01314,20250722,鶴見駅前,一の瀬,綱島駅入口
01317,20250722,新綱島駅,一の瀬,鶴見駅前
01402,20250722,梶山,三角,鶴見駅西口
01403,20250722,鶴見駅入口,三角,梶山
01500,20250722,鶴見駅前,本町通１丁目,鶴見駅前
01507,20250722,鶴見駅前,向井町１丁目,鶴見駅前
01509,20250722,鶴見駅前,,大東町
01545,20250722,鶴見駅前,向井町１丁目,鶴見駅前
01546,20250722,鶴見駅前,汐鶴橋通,鶴見駅前
01602,20250722,鶴見駅前,向井町１丁目,鶴見駅前
01603,20250722,鶴見駅前,鶴見総合高校前,鶴見駅前
01605,20250722,鶴見総合高校前,,鶴見駅前
01607,20250722,鶴見駅前,芦穂橋,鶴見駅前
01700,20250722,鶴見駅前,Ｌ８バース,鶴見駅前
01706,20250722,鶴見駅前,Ｌ８バース,鶴見駅前
01708,20250722,鶴見駅前,Ｌ８バース,鶴見駅前
01710,20250722,鶴見駅前,流通センター,鶴見駅前
01712,20250722,鶴見駅前,Ｌ８バース,鶴見駅前
01716,20250722,鶴見駅前,流通センター,鶴見駅前
01804,20250722,生麦,元宮,矢向駅前
01805,20250722,矢向駅前,元宮,生麦
01806,20250722,鶴見駅前,元宮,矢向駅前
01807,20250722,矢向駅前,元宮,鶴見駅前
01902,20250722,生麦,宝町,新子安駅前
01904,20250722,新子安駅前,生麦,新子安駅前
01909,20250722,新子安駅前,宝町,生麦
01911,20250722,新子安駅前,宝町,新子安駅前
02000,20250722,桜木町駅前,元町入口,山手駅前
02001,20250722,山手駅前,元町入口,桜木町駅前
02002,20250722,山下ふ頭,元町入口,山手駅前
02003,20250722,山手駅前,元町入口,山下ふ頭
02010,20250722,元町入口,上野町,山手駅前
02011,20250722,山手駅前,上野町,元町入口
02100,20250722,市電保存館前,麦田町,桜木町駅前
02101,20250722,桜木町駅前,麦田町,市電保存館前
02103,20250722,桜木町駅前,麦田町,根岸駅前
02104,20250722,市電保存館前,原町,根岸駅前
02105,20250722,根岸駅前,原町,市電保存館前
02111,20250722,山元町１丁目,根岸駅前,市電保存館前
02152,20250722,根岸駅前,,旭台（中区）
02153,20250722,旭台（中区）,,根岸駅前
02224,20250722,保土ケ谷駅西口,花見台西,星川駅
02225,20250722,星川駅,和田町駅,保土ケ谷駅西口
02228,20250722,保土ケ谷駅西口,花見台西,保土ケ谷車庫前
02229,20250722,保土ケ谷車庫前,花見台西,保土ケ谷駅西口
02323,20250722,若葉台中央,十日市場,中山駅前
