route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
001,3000020141003,001系統,,,3,,0000ff,ffffff,
002,3000020141003,002系統,,,3,,0000ff,ffffff,
006,3000020141003,006系統,,,3,,0000ff,ffffff,
007,3000020141003,007系統,,,3,,0000ff,ffffff,
008,3000020141003,008系統,,,3,,0000ff,ffffff,
009,3000020141003,009系統,,,3,,0000ff,ffffff,
010,3000020141003,010系統,,,3,,0000ff,ffffff,
012,3000020141003,012系統,,,3,,0000ff,ffffff,
013,3000020141003,013系統,,,3,,0000ff,ffffff,
014,3000020141003,014系統,,,3,,0000ff,ffffff,
015,3000020141003,015系統,,,3,,0000ff,ffffff,
016,3000020141003,016系統,,,3,,0000ff,ffffff,
017,3000020141003,017系統,,,3,,0000ff,ffffff,
018,3000020141003,018系統,,,3,,0000ff,ffffff,
019,3000020141003,019系統,,,3,,0000ff,ffffff,
020,3000020141003,020系統,,,3,,0000ff,ffffff,
021,3000020141003,021系統,,,3,,0000ff,ffffff,
022,3000020141003,022系統,,,3,,0000ff,ffffff,
023,3000020141003,023系統,,,3,,0000ff,ffffff,
025,3000020141003,025系統,,,3,,0000ff,ffffff,
026,3000020141003,026系統,,,3,,0000ff,ffffff,
027,3000020141003,027系統,,,3,,0000ff,ffffff,
028,3000020141003,028系統,,,3,,0000ff,ffffff,
029,3000020141003,029系統,,,3,,0000ff,ffffff,
031,3000020141003,031系統,,,3,,0000ff,ffffff,
032,3000020141003,032系統,,,3,,0000ff,ffffff,
033,3000020141003,033系統,,,3,,0000ff,ffffff,
034,3000020141003,034系統,,,3,,0000ff,ffffff,
035,3000020141003,035系統,,,3,,0000ff,ffffff,
036,3000020141003,036系統,,,3,,0000ff,ffffff,
038,3000020141003,038系統,,,3,,0000ff,ffffff,
039,3000020141003,039系統,,,3,,0000ff,ffffff,
041,3000020141003,041系統,,,3,,0000ff,ffffff,
045,3000020141003,045系統,,,3,,0000ff,ffffff,
048,3000020141003,048系統,,,3,,0000ff,ffffff,
050,3000020141003,050系統,,,3,,0000ff,ffffff,
051,3000020141003,051系統,,,3,,0000ff,ffffff,
052,3000020141003,052系統,,,3,,0000ff,ffffff,
053,3000020141003,053系統,,,3,,0000ff,ffffff,
054,3000020141003,054系統,,,3,,0000ff,ffffff,
055,3000020141003,055系統,,,3,,0000ff,ffffff,
056,3000020141003,056系統,,,3,,0000ff,ffffff,
058,3000020141003,058系統,,,3,,0000ff,ffffff,
059,3000020141003,059系統,,,3,,0000ff,ffffff,
061,3000020141003,061系統,,,3,,0000ff,ffffff,
064,3000020141003,064系統,,,3,,0000ff,ffffff,
065,3000020141003,065系統,,,3,,0000ff,ffffff,
066,3000020141003,066系統,,,3,,0000ff,ffffff,
067,3000020141003,067系統,,,3,,0000ff,ffffff,
068,3000020141003,068系統,,,3,,0000ff,ffffff,
070,3000020141003,070系統,,,3,,0000ff,ffffff,
073,3000020141003,073系統,,,3,,0000ff,ffffff,
074,3000020141003,074系統,,,3,,0000ff,ffffff,
076,3000020141003,076系統,,,3,,0000ff,ffffff,
078,3000020141003,078系統,,,3,,0000ff,ffffff,
079,3000020141003,079系統,,,3,,0000ff,ffffff,
080,3000020141003,080系統,,,3,,0000ff,ffffff,
082,3000020141003,082系統,,,3,,0000ff,ffffff,
084,3000020141003,084系統,,,3,,0000ff,ffffff,
085,3000020141003,085系統,,,3,,0000ff,ffffff,
086,3000020141003,086系統,,,3,,0000ff,ffffff,
087,3000020141003,087系統,,,3,,0000ff,ffffff,
088,3000020141003,088系統,,,3,,0000ff,ffffff,
089,3000020141003,,89系統　ぶらり野毛山動物園BUS,,3,,0000ff,ffffff,
090,3000020141003,090系統,,,3,,0000ff,ffffff,
091,3000020141003,,【急行】91系統,,3,,0000ff,ffffff,
092,3000020141003,,【急行】92系統,,3,,0000ff,ffffff,
096,3000020141003,096系統,,,3,,0000ff,ffffff,
097,3000020141003,097系統,,,3,,0000ff,ffffff,
098,3000020141003,098系統,,,3,,0000ff,ffffff,
101,3000020141003,101系統,,,3,,0000ff,ffffff,
102,3000020141003,102系統,,,3,,0000ff,ffffff,
103,3000020141003,103系統,,,3,,0000ff,ffffff,
104,3000020141003,104系統,,,3,,0000ff,ffffff,
105,3000020141003,105系統,,,3,,0000ff,ffffff,
106,3000020141003,106系統,,,3,,0000ff,ffffff,
107,3000020141003,107系統,,,3,,0000ff,ffffff,
108,3000020141003,108系統,,,3,,0000ff,ffffff,
109,3000020141003,109系統,,,3,,0000ff,ffffff,
111,3000020141003,111系統,,,3,,0000ff,ffffff,
112,3000020141003,112系統,,,3,,0000ff,ffffff,
113,3000020141003,113系統,,,3,,0000ff,ffffff,
117,3000020141003,117系統,,,3,,0000ff,ffffff,
119,3000020141003,119系統,,,3,,0000ff,ffffff,
123,3000020141003,,【急行】123系統,,3,,0000ff,ffffff,
124,3000020141003,124系統,,,3,,0000ff,ffffff,
125,3000020141003,125系統,,,3,,0000ff,ffffff,
127,3000020141003,127系統,,,3,,0000ff,ffffff,
128,3000020141003,128系統,,,3,,0000ff,ffffff,
129,3000020141003,129系統,,,3,,0000ff,ffffff,
130,3000020141003,130系統,,,3,,0000ff,ffffff,
133,3000020141003,133系統,,,3,,0000ff,ffffff,
135,3000020141003,135系統,,,3,,0000ff,ffffff,
155,3000020141003,155系統,,,3,,0000ff,ffffff,
156,3000020141003,156系統,,,3,,0000ff,ffffff,
158,3000020141003,158系統,,,3,,0000ff,ffffff,
168,3000020141003,168系統,,,3,,0000ff,ffffff,
172,3000020141003,172系統,,,3,,0000ff,ffffff,
177,3000020141003,177系統,,,3,,0000ff,ffffff,
181,3000020141003,181系統,,,3,,0000ff,ffffff,
188,3000020141003,188系統,,,3,,0000ff,ffffff,
200,3000020141003,,ベイサイドブルー,,3,,0000ff,ffffff,
201,3000020141003,201系統,,,3,,0000ff,ffffff,
202,3000020141003,202系統,,,3,,0000ff,ffffff,
204,3000020141003,204系統,,,3,,0000ff,ffffff,
205,3000020141003,205系統,,,3,,0000ff,ffffff,
207,3000020141003,207系統,,,3,,0000ff,ffffff,
208,3000020141003,208系統,,,3,,0000ff,ffffff,
209,3000020141003,209系統,,,3,,0000ff,ffffff,
210,3000020141003,210系統,,,3,,0000ff,ffffff,
211,3000020141003,211系統,,,3,,0000ff,ffffff,
212,3000020141003,212系統,,,3,,0000ff,ffffff,
213,3000020141003,213系統,,,3,,0000ff,ffffff,
214,3000020141003,214系統,,,3,,0000ff,ffffff,
215,3000020141003,215系統,,,3,,0000ff,ffffff,
217,3000020141003,217系統,,,3,,0000ff,ffffff,
218,3000020141003,218系統,,,3,,0000ff,ffffff,
219,3000020141003,219系統,,,3,,0000ff,ffffff,
220,3000020141003,220系統,,,3,,0000ff,ffffff,
221,3000020141003,,鴨居・東本郷線,,3,,0000ff,ffffff,
222,3000020141003,222系統,,,3,,0000ff,ffffff,
240,3000020141003,240系統,,,3,,0000ff,ffffff,
248,3000020141003,248系統,,,3,,0000ff,ffffff,
256,3000020141003,256系統,,,3,,0000ff,ffffff,
260,3000020141003,260系統,,,3,,0000ff,ffffff,
271,3000020141003,,観光スポット周遊バス「あかいくつ」,,3,http://www.welcome.city.yokohama.jp/ja/tourism/transit/akaikutsu/,ff0000,ffffff,
272,3000020141003,,ふれあいバス（緑区・十日市場地区）,,3,,0000ff,ffffff,
275,3000020141003,,ふれあいバス（緑区・上山地区）,,3,,0000ff,ffffff,
280,3000020141003,,ぶらり三溪園BUS,,3,,0000ff,ffffff,
288,3000020141003,,聖隷横浜病院循環,,3,,0000ff,ffffff,
291,3000020141003,291系統,,,3,,0000ff,ffffff,
292,3000020141003,292系統,,,3,,0000ff,ffffff,
293,3000020141003,293系統,,,3,,0000ff,ffffff,
295,3000020141003,295系統,,,3,,0000ff,ffffff,
300,3000020141003,300系統,,,3,,0000ff,ffffff,
301,3000020141003,301系統,,,3,,0000ff,ffffff,
302,3000020141003,302系統,,,3,,0000ff,ffffff,
304,3000020141003,304系統,,,3,,0000ff,ffffff,
305,3000020141003,305系統,,,3,,0000ff,ffffff,
306,3000020141003,306系統,,,3,,0000ff,ffffff,
318,3000020141003,318系統,,,3,,0000ff,ffffff,
321,3000020141003,321系統,,,3,,0000ff,ffffff,
326,3000020141003,,【急行】326系統,,3,,0000ff,ffffff,
327,3000020141003,,【急行】327系統,,3,,0000ff,ffffff,
328,3000020141003,,【急行】328系統,,3,,0000ff,ffffff,
329,3000020141003,,【急行】329系統,,3,,0000ff,ffffff,
341,3000020141003,,【急行】341系統,,3,,0000ff,ffffff,
345,3000020141003,,【急行】345系統,,3,,0000ff,ffffff,
346,3000020141003,,【急行】346系統,,3,,0000ff,ffffff,
