stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
0002_01,,東橋,,35.4367297,139.6319920,,,0,,,1,
0002_02,,東橋,,35.4367661,139.6324709,,,0,,,1,
0003_01,,吾妻神社前,,35.4219436,139.6672317,,,0,,,1,
0005_01,,青物市場前,,35.4070009,139.6270459,,,0,,,1,
0005_02,,青物市場前,,35.4069306,139.6273667,,,0,,,1,
0006_07,,青葉台駅,,35.5439461,139.5168334,,,0,,,1,7
0006_08,,青葉台駅,,35.5438234,139.5168956,,,0,,,1,8
0006_09,,青葉台駅,,35.5439645,139.5168942,,,0,,,1,9
0007_01,,青葉台営業所前,,35.5317870,139.5172120,,,0,,,1,
0007_02,,青葉台営業所前,,35.5321531,139.5173609,,,0,,,1,
0007_03,,青葉台営業所前,,35.5307461,139.5173734,,,0,,,1,
0007_04,,青葉台営業所前,,35.5307300,139.5171167,,,0,,,1,
0010_01,,青木橋,,35.4704453,139.6260172,,,0,,,1,
0010_02,,青木橋,,35.4717328,139.6269200,,,0,,,1,
0010_03,,青木橋,,35.4708964,139.6269264,,,0,,,1,
0013_01,,曙町,,35.4408217,139.6291050,,,0,,,1,
0013_02,,曙町,,35.4406428,139.6291750,,,0,,,1,
0014_01,,浅岡橋,,35.4621234,139.6091556,,,0,,,1,
0014_02,,浅岡橋,,35.4629228,139.6100914,,,0,,,1,
0015_01,,浅野学園前,,35.4893667,139.6580709,,,0,,,1,
0015_02,,浅野学園前,,35.4895206,139.6584972,,,0,,,1,
0016_01,,旭台（中区）,,35.4205117,139.6382634,,,0,,,1,
0016_02,,旭台（中区）,,35.4203381,139.6379517,,,0,,,1,
0017_01,,旭環境センター前,,35.4824161,139.5568553,,,0,,,1,
0017_02,,旭環境センター前,,35.4823395,139.5567022,,,0,,,1,
0020_01,,旭台（鶴見区）,,35.5174817,139.6676759,,,0,,,1,
0020_02,,旭台（鶴見区）,,35.5172559,139.6677356,,,0,,,1,
0021_01,,芦穂崎,,35.5103184,139.6833753,,,0,,,1,
0021_02,,芦穂崎,,35.5105431,139.6833409,,,0,,,1,
0022_01,,芦名橋,,35.4095847,139.6218606,,,0,,,1,
0022_02,,芦名橋,,35.4096825,139.6220784,,,0,,,1,
0024_01,,愛宕旭環境センター前,,35.4830547,139.5568122,,,0,,,1,
0025_01,,荒立,,35.5019481,139.6622784,,,0,,,1,
0025_02,,荒立,,35.5026956,139.6620042,,,0,,,1,
0025_03,,荒立,,35.5024303,139.6614811,,,0,,,1,
0026_01,,安善町,,35.4920317,139.7054759,,,0,,,1,
0026_02,,安善町,,35.4914497,139.7059600,,,0,,,1,
0027_01,,安善町中央,,35.4943384,139.7039614,,,0,,,1,
0027_02,,安善町中央,,35.4933936,139.7047097,,,0,,,1,
0028_01,,安善橋,,35.4963625,139.7026464,,,0,,,1,
0028_02,,安善橋,,35.4964036,139.7027142,,,0,,,1,
0029_01,,安善駅前,,35.5000439,139.6996278,,,0,,,1,
0029_02,,安善駅前,,35.4997234,139.7002800,,,0,,,1,
0030_01,,安養寺前,,35.4967836,139.6664372,,,0,,,1,
0030_02,,安養寺前,,35.4969186,139.6661503,,,0,,,1,
0030_03,,安養寺前,,35.4956522,139.6654664,,,0,,,1,
0030_04,,安養寺前,,35.4958245,139.6658522,,,0,,,1,
0031_01,,淡島神社前,,35.5236750,139.5917386,,,0,,,1,
0031_02,,淡島神社前,,35.5247270,139.5917972,,,0,,,1,
0032_01,,新井小学校下,,35.4943128,139.5573395,,,0,,,1,
0032_02,,新井小学校下,,35.4938100,139.5575806,,,0,,,1,
0033_01,,新井町,,35.4898439,139.5581361,,,0,,,1,
0033_02,,新井町,,35.4905092,139.5582995,,,0,,,1,
0036_01,,芦穂橋,,35.5098017,139.6865672,,,0,,,1,
0041_01,,青砥坂,,35.3791011,139.6213284,,,0,,,1,
0041_02,,青砥坂,,35.3788814,139.6212445,,,0,,,1,
0044_01,,新井中学校前,,35.4846675,139.5598861,,,0,,,1,
0045_01,,安善町２丁目,,35.4920856,139.7055689,,,0,,,1,
0047_01,,赤レンガ倉庫・マリン＆ウォーク,,35.4529720,139.6422339,,,0,,,1,
0048_01,,赤レンガ倉庫前,,35.4528775,139.6411903,,,0,,,1,
0200_01,,いぶき野,,35.5291925,139.5034836,,,0,,,1,
0200_02,,いぶき野,,35.5292297,139.5037622,,,0,,,1,
0201_01,,伊勢佐木町,,35.4435209,139.6298059,,,0,,,1,
0201_02,,伊勢佐木町,,35.4431845,139.6304600,,,0,,,1,
0202_01,,伊勢佐木長者町駅前,,35.4409642,139.6326353,,,0,,,1,
0202_02,,伊勢佐木長者町駅前,,35.4409828,139.6329703,,,0,,,1,
0203_01,,伊勢町,,35.4509489,139.6229270,,,0,,,1,
0203_02,,伊勢町,,35.4515847,139.6223370,,,0,,,1,
0204_01,,井土ケ谷駅前,,35.4341781,139.6013214,,,0,,,1,
0204_02,,井土ケ谷駅前,,35.4344178,139.6014145,,,0,,,1,
0205_02,,井土ケ谷,,35.4329634,139.6038117,,,0,,,1,
0205_03,,井土ケ谷,,35.4313636,139.6035031,,,0,,,1,
0206_01,,井土ケ谷下町,,35.4333575,139.6071009,,,0,,,1,
0209_01,,池辺,,35.5204245,139.5693739,,,0,,,1,
0209_02,,池辺,,35.5201111,139.5702972,,,0,,,1,
0210_01,,池の谷,,35.4864514,139.6039839,,,0,,,1,
0210_02,,池の谷,,35.4869739,139.6041028,,,0,,,1,
0211_01,,石神,,35.5080056,139.5530295,,,0,,,1,
0211_02,,石神,,35.5082320,139.5518750,,,0,,,1,
0212_01,,石橋（緑区）,,35.5265139,139.5101039,,,0,,,1,
0212_02,,石橋（緑区）,,35.5260492,139.5106956,,,0,,,1,
0213_01,,石橋,,35.5198581,139.5568761,,,0,,,1,
0213_02,,石橋,,35.5211639,139.5574392,,,0,,,1,
0213_03,,石橋,,35.5197800,139.5566139,,,0,,,1,
0213_04,,石橋,,35.5209125,139.5571589,,,0,,,1,
0213_05,,石橋,,35.5213342,139.5568720,,,0,,,1,
0215_01,,石川町５丁目,,35.4366211,139.6375634,,,0,,,1,
0215_02,,石川町５丁目,,35.4366906,139.6377611,,,0,,,1,
0217_01,,泉町中央,,35.4741089,139.6213742,,,0,,,1,
0217_02,,泉町中央,,35.4739222,139.6207153,,,0,,,1,
0218_01,,磯子駅前,,35.3997817,139.6174178,,,0,,,1,1
0218_02,,磯子駅前,,35.3999031,139.6174939,,,0,,,1,2
0218_03,,磯子駅前,,35.4000745,139.6176089,,,0,,,1,3
0218_05,,磯子駅前,,35.4002736,139.6177589,,,0,,,1,5
0218_08,,磯子駅前,,35.4001264,139.6175050,,,0,,,1,8
0218_10,,磯子駅前,,35.4005053,139.6173331,,,0,,,1,10
0218_11,,磯子駅前,,35.4006359,139.6174222,,,0,,,1,11
0218_12,,磯子駅前,,35.4007725,139.6175400,,,0,,,1,12
0219_01,,磯子車庫前,,35.3958100,139.6147800,,,0,,,1,
0219_02,,磯子車庫前,,35.3945961,139.6143906,,,0,,,1,
0219_03,,磯子車庫前,,35.3950392,139.6132550,,,0,,,1,
0219_04,,磯子車庫前,,35.3943267,139.6150889,,,0,,,1,
0219_05,,磯子車庫前,,35.3946911,139.6150592,,,0,,,1,
