table_name,field_name,language,translation,record_id,record_sub_id,field_value
routes,route_long_name,en,【Express】123,,,【急行】123系統
routes,route_long_name,ja,【急行】123系統,,,【急行】123系統
routes,route_long_name,ja-Hrkt,[キュウコウ] 123ケイトウ,,,【急行】123系統
routes,route_long_name,ko,【급행】123계통,,,【急行】123系統
routes,route_long_name,zh,【快车】123系统,,,【急行】123系統
routes,route_long_name,en,【Express】326,,,【急行】326系統
routes,route_long_name,ja,【急行】326系統,,,【急行】326系統
routes,route_long_name,ja-Hrkt,[キュウコウ] 326ケイトウ,,,【急行】326系統
routes,route_long_name,ko,【급행】326계통,,,【急行】326系統
routes,route_long_name,zh,【快车】326系统,,,【急行】326系統
routes,route_long_name,en,【Express】327,,,【急行】327系統
routes,route_long_name,ja,【急行】327系統,,,【急行】327系統
routes,route_long_name,ja-Hrkt,[キュウコウ] 327ケイトウ,,,【急行】327系統
routes,route_long_name,ko,【급행】327계통,,,【急行】327系統
routes,route_long_name,zh,【快车】327系统,,,【急行】327系統
routes,route_long_name,en,【Express】328,,,【急行】328系統
routes,route_long_name,ja,【急行】328系統,,,【急行】328系統
routes,route_long_name,ja-Hrkt,[キュウコウ] 328ケイトウ,,,【急行】328系統
routes,route_long_name,ko,【급행】328계통,,,【急行】328系統
routes,route_long_name,zh,【快车】328系统,,,【急行】328系統
routes,route_long_name,en,【Express】345,,,【急行】345系統
routes,route_long_name,ja,【急行】345系統,,,【急行】345系統
routes,route_long_name,ja-Hrkt,[キュウコウ] 345ケイトウ,,,【急行】345系統
routes,route_long_name,ko,【급행】345계통,,,【急行】345系統
routes,route_long_name,zh,【快车】345系统,,,【急行】345系統
routes,route_long_name,en,【Express】346,,,【急行】346系統
routes,route_long_name,ja,【急行】346系統,,,【急行】346系統
routes,route_long_name,ja-Hrkt,[キュウコウ] 346ケイトウ,,,【急行】346系統
routes,route_long_name,ko,【급행】346계통,,,【急行】346系統
routes,route_long_name,zh,【快车】346系统,,,【急行】346系統
routes,route_long_name,en,Seirei Yokohama Hospital Circular Route,,,聖隷横浜病院循環
routes,route_long_name,ja,聖隷横浜病院循環,,,聖隷横浜病院循環
routes,route_long_name,ja-Hrkt,セイレイヨコハマビョウインジュンカン,,,聖隷横浜病院循環
routes,route_long_name,ko,세이레이 요코하마 뵤우인 [세이레이 요코하마 병원]순환,,,聖隷横浜病院循環
routes,route_long_name,zh,圣隶横滨医院循环,,,聖隷横浜病院循環
routes,route_long_name,en,Fureai Bus（Midori Ward Kamiyama area）,,,ふれあいバス（緑区・上山地区）
routes,route_long_name,ja,ふれあいバス（緑区・上山地区）,,,ふれあいバス（緑区・上山地区）
routes,route_long_name,ja-Hrkt,フレアイバス(ミドリク・カミヤマチク),,,ふれあいバス（緑区・上山地区）
routes,route_long_name,ko,후레아이 버스（미도리쿠・카미야마지구）,,,ふれあいバス（緑区・上山地区）
routes,route_long_name,zh,交流巴士（绿区・上山地区）,,,ふれあいバス（緑区・上山地区）
routes,route_long_name,en,Fureai Bus（Midori Ward Tokaichiba area）,,,ふれあいバス（緑区・十日市場地区）
routes,route_long_name,ja,ふれあいバス（緑区・十日市場地区）,,,ふれあいバス（緑区・十日市場地区）
routes,route_long_name,ja-Hrkt,フレアイバス(ミドリク・トオカイチバチク),,,ふれあいバス（緑区・十日市場地区）
routes,route_long_name,ko,후레아이 버스 (미도리쿠・도카이치바지구）,,,ふれあいバス（緑区・十日市場地区）
routes,route_long_name,zh,交流巴士（绿区・十日市场地区）,,,ふれあいバス（緑区・十日市場地区）
routes,route_long_name,en,Burari-Sankeien BUS,,,ぶらり三溪園BUS
routes,route_long_name,ja,ぶらり三溪園BUS,,,ぶらり三溪園BUS
routes,route_long_name,ja-Hrkt,ブラリサンケイエンバス,,,ぶらり三溪園BUS
routes,route_long_name,ko,부라리 산케이엔 버스,,,ぶらり三溪園BUS
routes,route_long_name,zh,Burari三溪园巴士,,,ぶらり三溪園BUS
routes,route_long_name,en,BAYSIDE BLUE,,,ベイサイドブルー
routes,route_long_name,ja,ベイサイドブルー,,,ベイサイドブルー
routes,route_long_name,ja-Hrkt,BAYSIDE BLUE,,,ベイサイドブルー
routes,route_long_name,ko,BAYSIDE BLUE,,,ベイサイドブルー
routes,route_long_name,zh,BAYSIDE BLUE,,,ベイサイドブルー
routes,route_long_name,en,Burari-Nogeyama-dobutsuen BUS,,,89系統　ぶらり野毛山動物園BUS
routes,route_long_name,ja,89系統　ぶらり野毛山動物園BUS,,,89系統　ぶらり野毛山動物園BUS
routes,route_long_name,ja-Hrkt,89ケイトウ ブラリノゲヤマドウブツエンバス,,,89系統　ぶらり野毛山動物園BUS
routes,route_long_name,ko,89계통　부라리 노게야마 동물원 버스,,,89系統　ぶらり野毛山動物園BUS
routes,route_long_name,zh,89系统　Burari野毛山动物园巴士,,,89系統　ぶらり野毛山動物園BUS
routes,route_long_name,en,Akai Kutsu,,,観光スポット周遊バス「あかいくつ」
routes,route_long_name,ja,観光スポット周遊バス「あかいくつ」,,,観光スポット周遊バス「あかいくつ」
routes,route_long_name,ja-Hrkt,カンコウスポットシュウユウバス 「アカイクツ」,,,観光スポット周遊バス「あかいくつ」
routes,route_long_name,ko,아카이쿠쓰,,,観光スポット周遊バス「あかいくつ」
routes,route_long_name,zh,红鞋观光循环车,,,観光スポット周遊バス「あかいくつ」
routes,route_long_name,en,Kamoi-Higashihongo Line,,,鴨居・東本郷線
routes,route_long_name,ja,鴨居・東本郷線,,,鴨居・東本郷線
routes,route_long_name,ja-Hrkt,カモイ・ヒガシホンゴウセン,,,鴨居・東本郷線
routes,route_long_name,ko,가모이・히가시혼고선,,,鴨居・東本郷線
routes,route_long_name,zh,鸭居・东本乡线,,,鴨居・東本郷線
routes,route_short_name,en,Route 001,,,001系統
routes,route_short_name,ja,001系統,,,001系統
routes,route_short_name,ja-Hrkt,001ケイトウ,,,001系統
routes,route_short_name,ko,001계통,,,001系統
routes,route_short_name,zh,001系统,,,001系統
routes,route_short_name,en,Route 002,,,002系統
routes,route_short_name,ja,002系統,,,002系統
routes,route_short_name,ja-Hrkt,002ケイトウ,,,002系統
routes,route_short_name,ko,002계통,,,002系統
routes,route_short_name,zh,002系统,,,002系統
routes,route_short_name,en,Route 006,,,006系統
routes,route_short_name,ja,006系統,,,006系統
routes,route_short_name,ja-Hrkt,006ケイトウ,,,006系統
routes,route_short_name,ko,006계통,,,006系統
routes,route_short_name,zh,006系统,,,006系統
routes,route_short_name,en,Route 007,,,007系統
routes,route_short_name,ja,007系統,,,007系統
routes,route_short_name,ja-Hrkt,007ケイトウ,,,007系統
routes,route_short_name,ko,007계통,,,007系統
routes,route_short_name,zh,007系统,,,007系統
routes,route_short_name,en,Route 008,,,008系統
routes,route_short_name,ja,008系統,,,008系統
routes,route_short_name,ja-Hrkt,008ケイトウ,,,008系統
routes,route_short_name,ko,008계통,,,008系統
routes,route_short_name,zh,008系统,,,008系統
routes,route_short_name,en,Route 009,,,009系統
routes,route_short_name,ja,009系統,,,009系統
routes,route_short_name,ja-Hrkt,009ケイトウ,,,009系統
routes,route_short_name,ko,009계통,,,009系統
routes,route_short_name,zh,009系统,,,009系統
routes,route_short_name,en,Route 010,,,010系統
routes,route_short_name,ja,010系統,,,010系統
routes,route_short_name,ja-Hrkt,010ケイトウ,,,010系統
routes,route_short_name,ko,010계통,,,010系統
routes,route_short_name,zh,010系统,,,010系統
routes,route_short_name,en,Route 012,,,012系統
routes,route_short_name,ja,012系統,,,012系統
routes,route_short_name,ja-Hrkt,012ケイトウ,,,012系統
routes,route_short_name,ko,012계통,,,012系統
routes,route_short_name,zh,012系统,,,012系統
routes,route_short_name,en,Route 013,,,013系統
routes,route_short_name,ja,013系統,,,013系統
routes,route_short_name,ja-Hrkt,013ケイトウ,,,013系統
routes,route_short_name,ko,013계통,,,013系統
routes,route_short_name,zh,013系统,,,013系統
routes,route_short_name,en,Route 014,,,014系統
routes,route_short_name,ja,014系統,,,014系統
routes,route_short_name,ja-Hrkt,014ケイトウ,,,014系統
routes,route_short_name,ko,014계통,,,014系統
routes,route_short_name,zh,014系统,,,014系統
routes,route_short_name,en,Route 015,,,015系統
routes,route_short_name,ja,015系統,,,015系統
routes,route_short_name,ja-Hrkt,015ケイトウ,,,015系統
routes,route_short_name,ko,015계통,,,015系統
routes,route_short_name,zh,015系统,,,015系統
routes,route_short_name,en,Route 016,,,016系統
routes,route_short_name,ja,016系統,,,016系統
routes,route_short_name,ja-Hrkt,016ケイトウ,,,016系統
routes,route_short_name,ko,016계통,,,016系統
routes,route_short_name,zh,016系统,,,016系統
routes,route_short_name,en,Route 017,,,017系統
routes,route_short_name,ja,017系統,,,017系統
routes,route_short_name,ja-Hrkt,017ケイトウ,,,017系統
routes,route_short_name,ko,017계통,,,017系統
routes,route_short_name,zh,017系统,,,017系統
routes,route_short_name,en,Route 018,,,018系統
routes,route_short_name,ja,018系統,,,018系統
routes,route_short_name,ja-Hrkt,018ケイトウ,,,018系統
routes,route_short_name,ko,018계통,,,018系統
routes,route_short_name,zh,018系统,,,018系統
routes,route_short_name,en,Route 019,,,019系統
routes,route_short_name,ja,019系統,,,019系統
routes,route_short_name,ja-Hrkt,019ケイトウ,,,019系統
routes,route_short_name,ko,019계통,,,019系統
routes,route_short_name,zh,019系统,,,019系統
routes,route_short_name,en,Route 020,,,020系統
routes,route_short_name,ja,020系統,,,020系統
routes,route_short_name,ja-Hrkt,020ケイトウ,,,020系統
routes,route_short_name,ko,020계통,,,020系統
routes,route_short_name,zh,020系统,,,020系統
routes,route_short_name,en,Route 021,,,021系統
routes,route_short_name,ja,021系統,,,021系統
routes,route_short_name,ja-Hrkt,021ケイトウ,,,021系統
routes,route_short_name,ko,021계통,,,021系統
routes,route_short_name,zh,021系统,,,021系統
routes,route_short_name,en,Route 022,,,022系統
routes,route_short_name,ja,022系統,,,022系統
routes,route_short_name,ja-Hrkt,022ケイトウ,,,022系統
routes,route_short_name,ko,022계통,,,022系統
routes,route_short_name,zh,022系统,,,022系統
routes,route_short_name,en,Route 023,,,023系統
routes,route_short_name,ja,023系統,,,023系統
routes,route_short_name,ja-Hrkt,023ケイトウ,,,023系統
routes,route_short_name,ko,023계통,,,023系統
routes,route_short_name,zh,023系统,,,023系統
routes,route_short_name,en,Route 025,,,025系統
routes,route_short_name,ja,025系統,,,025系統
routes,route_short_name,ja-Hrkt,025ケイトウ,,,025系統
routes,route_short_name,ko,025계통,,,025系統
routes,route_short_name,zh,025系统,,,025系統
routes,route_short_name,en,Route 026,,,026系統
routes,route_short_name,ja,026系統,,,026系統
routes,route_short_name,ja-Hrkt,026ケイトウ,,,026系統
routes,route_short_name,ko,026계통,,,026系統
routes,route_short_name,zh,026系统,,,026系統
routes,route_short_name,en,Route 027,,,027系統
routes,route_short_name,ja,027系統,,,027系統
routes,route_short_name,ja-Hrkt,027ケイトウ,,,027系統
routes,route_short_name,ko,027계통,,,027系統
routes,route_short_name,zh,027系统,,,027系統
routes,route_short_name,en,Route 028,,,028系統
routes,route_short_name,ja,028系統,,,028系統
routes,route_short_name,ja-Hrkt,028ケイトウ,,,028系統
routes,route_short_name,ko,028계통,,,028系統
routes,route_short_name,zh,028系统,,,028系統
routes,route_short_name,en,Route 029,,,029系統
routes,route_short_name,ja,029系統,,,029系統
routes,route_short_name,ja-Hrkt,029ケイトウ,,,029系統
routes,route_short_name,ko,029계통,,,029系統
routes,route_short_name,zh,029系统,,,029系統
routes,route_short_name,en,Route 031,,,031系統
routes,route_short_name,ja,031系統,,,031系統
routes,route_short_name,ja-Hrkt,031ケイトウ,,,031系統
routes,route_short_name,ko,031계통,,,031系統
routes,route_short_name,zh,031系统,,,031系統
routes,route_short_name,en,Route 032,,,032系統
routes,route_short_name,ja,032系統,,,032系統
routes,route_short_name,ja-Hrkt,032ケイトウ,,,032系統
routes,route_short_name,ko,032계통,,,032系統
routes,route_short_name,zh,032系统,,,032系統
routes,route_short_name,en,Route 033,,,033系統
routes,route_short_name,ja,033系統,,,033系統
routes,route_short_name,ja-Hrkt,033ケイトウ,,,033系統
routes,route_short_name,ko,033계통,,,033系統
routes,route_short_name,zh,033系统,,,033系統
routes,route_short_name,en,Route 034,,,034系統
routes,route_short_name,ja,034系統,,,034系統
routes,route_short_name,ja-Hrkt,034ケイトウ,,,034系統
routes,route_short_name,ko,034계통,,,034系統
routes,route_short_name,zh,034系统,,,034系統
routes,route_short_name,en,Route 035,,,035系統
routes,route_short_name,ja,035系統,,,035系統
routes,route_short_name,ja-Hrkt,035ケイトウ,,,035系統
routes,route_short_name,ko,035계통,,,035系統
routes,route_short_name,zh,035系统,,,035系統
routes,route_short_name,en,Route 036,,,036系統
routes,route_short_name,ja,036系統,,,036系統
routes,route_short_name,ja-Hrkt,036ケイトウ,,,036系統
routes,route_short_name,ko,036계통,,,036系統
routes,route_short_name,zh,036系统,,,036系統
routes,route_short_name,en,Route 038,,,038系統
routes,route_short_name,ja,038系統,,,038系統
routes,route_short_name,ja-Hrkt,038ケイトウ,,,038系統
routes,route_short_name,ko,038계통,,,038系統
routes,route_short_name,zh,038系统,,,038系統
routes,route_short_name,en,Route 039,,,039系統
routes,route_short_name,ja,039系統,,,039系統
routes,route_short_name,ja-Hrkt,039ケイトウ,,,039系統
routes,route_short_name,ko,039계통,,,039系統
